trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(13,6);(0,3);(10,10);(6,2);(12,2);(8,6);(11,5);(14,15);(0,7);(16,8);(2,4);(13,3);(11,14);(16,4);(14,17);(5,4);(11,3);(5,8);(16,12);(1,13);(0,11);(13,8);(16,17);(16,11);(14,16);(10,17);(13,13);(13,5);(18,9);(3,16);(4,12);(6,12);(4,5);(1,14);(7,14);(18,4);(15,17);(0,10);(14,3);(0,16);(10,0);(3,6);(5,18);(9,16);(8,2);(18,0);(13,10);(1,8);(12,0);(15,3)",50,True,81.11659904184904,81.11659904184904,00:13;01:14;02:16;03:7,"(0,0);(0,6);(0,12);(0,18)","(18,0);(18,4);(18,9);(18,14)",412,0,completed
1,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(7,5);(11,9);(15,8);(14,6);(2,11);(8,0);(14,16);(3,11);(5,6);(13,2);(14,5);(3,13);(11,16);(9,5);(3,7);(12,6);(18,3);(2,8);(18,1);(1,16);(1,17);(16,8);(5,17);(11,3);(1,4);(4,6);(0,10);(15,9);(7,10);(5,14);(6,9);(3,18);(3,1);(16,13);(13,9);(15,0);(8,1);(1,12);(16,15);(13,11);(18,13);(10,12);(17,17);(14,15);(16,3);(10,10);(7,17);(3,2);(16,14);(13,12)",50,True,92.08734588712177,92.08734588712177,00:8;01:11;02:18;03:13,"(0,0);(0,6);(0,12);(0,18)","(8,0);(12,0);(18,1);(17,14)",468,0,completed
2,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(2,10);(12,0);(11,18);(18,11);(5,13);(10,1);(13,3);(2,16);(9,18);(5,10);(15,2);(15,14);(13,13);(14,9);(9,17);(2,13);(14,0);(4,15);(18,2);(5,18);(1,13);(13,1);(1,6);(13,15);(11,5);(11,11);(13,0);(1,0);(18,15);(7,11);(10,2);(8,8);(2,1);(2,14);(14,11);(11,8);(9,13);(6,17);(18,3);(18,1);(2,5);(4,7);(17,9);(10,11);(6,2);(15,10);(12,12);(7,15);(18,18);(16,4)",50,True,95.09955970160033,95.09955970160033,00:14;01:12;02:11;03:13,"(0,0);(0,6);(0,12);(0,18)","(18,5);(18,18);(9,13);(17,11)",477,0,completed
3,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(5,9);(3,13);(5,2);(13,15);(12,4);(1,9);(15,14);(18,16);(11,13);(4,12);(3,18);(1,6);(10,14);(11,2);(15,16);(8,17);(11,17);(2,0);(3,1);(8,0);(7,5);(12,0);(1,7);(2,6);(8,15);(18,6);(6,10);(12,11);(16,2);(1,3);(1,4);(7,15);(7,9);(17,8);(16,13);(14,2);(5,0);(2,15);(4,7);(11,14);(4,10);(9,8);(18,4);(8,5);(16,18);(1,18);(16,9);(4,5);(13,10);(9,9)",50,True,112.1793844099538,112.1793844099538,00:10;01:6;02:15;03:19,"(0,0);(0,6);(0,12);(0,18)","(15,8);(13,12);(16,18);(12,16)",556,0,completed
4,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(7,6);(9,11);(1,17);(5,12);(18,14);(10,6);(2,3);(9,16);(0,9);(6,1);(17,12);(3,2);(15,17);(3,9);(17,14);(4,6);(11,14);(11,1);(12,13);(12,5);(13,13);(1,10);(1,4);(12,3);(2,18);(7,9);(17,9);(3,4);(5,13);(2,10);(9,4);(18,11);(8,0);(12,18);(10,7);(14,10);(15,4);(7,2);(18,7);(14,11);(4,14);(11,15);(16,10);(18,4);(17,10);(4,11);(4,18);(4,5);(3,5);(13,17)",50,True,85.88042228628368,85.88042228628368,00:10;01:12;02:15;03:13,"(0,0);(0,6);(0,12);(0,18)","(13,3);(18,11);(16,17);(18,14)",443,0,completed
5,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(3,14);(12,10);(10,5);(18,7);(13,3);(2,0);(13,16);(4,13);(4,6);(6,11);(12,1);(7,14);(16,1);(16,15);(8,10);(11,1);(6,7);(11,13);(14,11);(5,5);(9,8);(15,10);(8,0);(16,0);(9,10);(16,12);(1,4);(17,5);(8,18);(8,6);(5,14);(17,6);(3,2);(4,7);(0,13);(3,7);(14,16);(2,16);(10,7);(4,4);(17,0);(5,3);(10,12);(18,5);(16,6);(2,5);(4,18);(1,3);(1,15);(7,7)",50,True,88.01571880180674,88.01571880180674,00:13;01:11;02:12;03:14,"(0,0);(0,6);(0,12);(0,18)","(10,7);(12,6);(18,5);(17,0)",447,0,completed
6,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(14,14);(17,2);(0,17);(14,11);(13,8);(7,13);(15,15);(4,16);(7,2);(9,17);(7,5);(10,16);(2,1);(17,1);(1,10);(15,8);(3,4);(15,18);(13,6);(1,16);(7,10);(8,12);(4,4);(4,1);(6,8);(13,0);(18,11);(15,1);(5,2);(15,2);(18,4);(17,10);(9,13);(1,12);(11,8);(14,5);(14,7);(10,5);(4,8);(2,3);(13,17);(11,18);(12,13);(6,6);(17,16);(16,3);(10,9);(1,4);(17,4);(0,15)",50,True,78.43791327275866,78.43791327275866,00:13;01:12;02:10;03:15,"(0,0);(0,6);(0,12);(0,18)","(17,4);(16,8);(17,16);(10,16)",406,0,completed
7,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(3,12);(11,8);(2,4);(15,12);(13,0);(11,18);(8,11);(10,15);(0,2);(3,2);(7,4);(2,10);(2,7);(17,14);(15,13);(18,15);(14,5);(3,17);(14,7);(16,1);(6,2);(9,9);(7,12);(12,15);(15,3);(6,4);(6,17);(10,13);(9,3);(6,6);(2,16);(18,18);(16,7);(17,10);(14,8);(15,18);(3,4);(11,3);(17,5);(18,7);(6,5);(17,9);(8,6);(10,2);(8,5);(13,11);(8,7);(10,12);(1,18);(18,5)",50,True,73.88196995503974,73.88196995503974,00:11;01:17;02:9;03:13,"(0,0);(0,6);(0,12);(0,18)","(13,1);(17,10);(17,13);(18,18)",391,0,completed
8,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(7,17);(6,11);(0,7);(0,17);(15,1);(12,5);(17,4);(15,11);(10,17);(14,10);(0,1);(13,5);(9,7);(0,8);(18,16);(3,10);(11,11);(8,8);(14,15);(11,4);(8,18);(15,4);(6,15);(16,4);(5,8);(7,8);(0,10);(12,2);(4,2);(18,8);(9,16);(8,3);(0,4);(2,17);(10,1);(9,2);(7,11);(16,2);(18,5);(17,0);(10,0);(3,16);(0,14);(1,5);(2,6);(1,3);(8,12);(5,4);(11,16);(11,9)",50,True,96.40025328744106,96.40025328744106,00:16;01:8;02:12;03:14,"(0,0);(0,6);(0,12);(0,18)","(17,6);(17,0);(0,14);(18,16)",490,0,completed
9,known_visit,CBAA,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_cbaa_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,"(2,16);(9,16);(12,2);(0,10);(8,0);(13,15);(1,5);(0,2);(14,14);(8,12);(2,17);(1,18);(6,2);(10,3);(3,9);(10,14);(5,1);(17,10);(8,6);(3,7);(16,0);(5,2);(2,6);(0,7);(11,7);(14,3);(12,12);(6,13);(17,11);(8,11);(1,14);(1,11);(7,1);(15,3);(6,9);(16,7);(16,2);(12,18);(13,17);(15,5);(14,1);(4,13);(2,3);(10,15);(5,7);(6,4);(2,5);(7,8);(13,18);(3,15)",50,True,81.02454812871433,81.02454812871433,00:15;01:9;02:14;03:12,"(0,0);(0,6);(0,12);(0,18)","(16,0);(12,5);(17,10);(17,9)",416,0,completed
