trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
2,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,50,12,0,47,4,0,0,0,0,0.0,0,0,144,103,41,383,0,47,2881.3331269999994,61.30496014893616,0.093948,166.421806,206.102348,2879.0316780000003,61.25599314893618,0.093948,166.260372,205.966449,22,2.301449,0.10461131818181818,0.09671650000000001,0.217016,0.269014,completed
2,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,52,15,0,52,1,3,0,0,0,0.0,0,0,144,105,39,384,0,40,2683.248039,67.081200975,92.2757365,143.863699,207.601272,2680.849086000001,67.02122715000003,92.142093,143.61718,207.512763,21,2.3989529999999997,0.11423585714285713,0.103612,0.246519,0.258615,completed
3,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,32,8,0,31,2,0,0,0,0,0.0,0,0,107,67,40,402,0,55,5401.475196000001,98.20863992727276,111.192456,225.2487,237.223563,5398.31678,98.15121418181819,111.161033,225.125088,237.193772,41,3.1584160000000003,0.07703453658536587,0.040703,0.255127,0.274134,completed
3,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,45,10,3,39,7,2,1,1,0,0.0,0,0,137,93,44,372,0,47,3584.0906790000004,76.25724848936171,100.908356,162.034945,211.481146,3581.548565,76.20316095744681,100.851911,161.776746,211.351167,29,2.5421139999999998,0.08765910344827585,0.067485,0.226487,0.258199,completed
3,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,47,17,0,48,0,1,0,0,0,0.0,0,0,132,96,36,377,0,39,3173.021555,81.35952705128204,117.562078,164.26485,236.769199,3170.5074730000006,81.29506341025642,117.553278,164.138487,236.587542,22,2.5140819999999997,0.11427645454545453,0.08102100000000001,0.265814,0.266518,completed
3,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,47,15,0,47,1,3,0,0,0,0.0,0,0,134,96,38,376,0,38,3390.8777250000003,89.23362434210527,115.351838,237.458705,242.216178,3388.0323230000004,89.15874534210528,115.3084955,237.225594,242.183859,24,2.845402,0.11855841666666667,0.11015649999999999,0.246871,0.254102,completed
4,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,29,8,0,29,1,2,0,0,0,0.0,0,0,107,61,46,405,0,63,7000.201796000001,111.11431422222225,120.66885,158.458166,171.592531,6994.492886000004,111.02369660317466,120.59634,158.218367,171.409722,54,5.7089099999999995,0.10572055555555554,0.0691495,0.261399,0.279126,completed
4,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,40,12,1,38,3,1,2,1,1,5.0,1,0,128,84,44,384,0,53,5054.756079999999,95.37275622641508,112.449157,173.77118,214.672498,5051.305519,95.30765130188678,112.414343,173.744013,214.415195,38,3.450561,0.09080423684210526,0.047518000000000005,0.265206,0.267286,completed
4,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,51,9,0,46,6,0,0,0,0,0.0,0,0,139,103,36,373,0,41,3688.0810720000004,89.95319687804879,104.825981,205.987475,243.086268,3684.9362889999998,89.87649485365853,104.762431,205.72422,242.904643,29,3.144783,0.10844079310344827,0.074589,0.263255,0.333396,completed
4,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,50,21,0,51,0,1,0,0,0,0.0,0,0,139,102,37,374,0,44,3414.3624620000005,77.59914686363638,122.051941,157.399069,168.491823,3411.3500629999994,77.53068324999998,121.911523,157.129191,168.461872,24,3.012399,0.125516625,0.134555,0.266134,0.269878,completed
