suite,environment,pair_key,grid_size,robot_count,algorithm,top_k_rate,top_k_max_cells,top_k_basis,comm_model,comm_level,paired_trials,max_steps_mean,max_steps_median,max_steps_mean_ci95_low,max_steps_mean_ci95_high,total_step_degradation_mean,total_step_degradation_median,total_step_degradation_mean_ci95_low,total_step_degradation_mean_ci95_high,total_step_degradation_pct_mean,total_step_degradation_pct_median,total_step_degradation_pct_mean_ci95_low,total_step_degradation_pct_mean_ci95_high
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,DMCHBA,0.5,25,initial_targets,ideal,,100,45.86,44.5,44.84975,46.99,6.03,6.0,2.12975,10.01025,4.432904078108781,3.721160184574819,2.000633212521468,6.968947219088138
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,DMCHBA,0.75,38,initial_targets,ideal,,100,45.19,44.0,44.11,46.21,2.8,0.5,-0.5605,6.060249999999998,2.2256428240227746,0.27472527472527475,0.25972401091375913,4.177735630237627
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,DMCHBA,1,50,initial_targets,ideal,,100,44.33,43.5,43.32,45.340250000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,HIPC,0.05,3,initial_targets,ideal,,100,50.13,50.0,48.68975,51.49025,-6.25,-5.5,-8.14,-4.499250000000004,-4.051393189605575,-3.9072039072039075,-5.232561247031627,-2.942505738689398
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,HIPC,0.1,5,initial_targets,ideal,,100,46.1,45.0,44.91,47.321,1.99,1.0,0.15975,3.7902499999999986,1.4967035734283478,0.6810600444773907,0.2542099935242219,2.7040788175635218
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,HIPC,0.25,13,initial_targets,ideal,,100,44.82,44.0,43.74,45.92,5.2,3.5,3.39,7.19,3.6873671010198183,2.479170900223532,2.384445405673645,4.997569325927785
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,HIPC,0.5,25,initial_targets,ideal,,100,43.43,43.0,42.41,44.57,0.95,0.0,0.27,1.88,0.6518579249919765,0.0,0.23001605498360783,1.195182698314962
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,HIPC,0.75,38,initial_targets,ideal,,100,42.84,42.0,41.94975,43.87025,-0.02,0.0,-0.06,0.0,-0.012738853503184712,0.0,-0.03821656050955414,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,HIPC,1,50,initial_targets,ideal,,100,42.84,42.0,41.89,43.7705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,PI,0.05,3,initial_targets,ideal,,100,52.75,53.0,51.38,54.06025,-2.06,-2.0,-5.020499999999999,0.8409999999999945,-0.8290056707005955,-1.2822620417557127,-2.697434189555127,0.9731094040461661
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,PI,0.1,5,initial_targets,ideal,,100,51.97,51.5,50.62975,53.34,1.48,0.5,-1.8102500000000001,4.9009999999999945,1.2568681458237052,0.3246753246753247,-0.7829076554940023,3.256727838403066
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,PI,0.25,13,initial_targets,ideal,,100,52.02,51.5,50.69975,53.44025,1.22,0.0,-0.77025,3.1002499999999986,0.8382568738338526,0.0,-0.3057663447987592,1.9387680321078269
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,PI,0.5,25,initial_targets,ideal,,100,50.7,50.0,49.51,51.840250000000005,-0.02,0.0,-0.18,0.09,-0.01104503060931016,0.0,-0.09240827478532397,0.047368421052631574
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,PI,0.75,38,initial_targets,ideal,,100,50.82,50.0,49.62975,52.08025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,PI,1,50,initial_targets,ideal,,100,50.82,50.0,49.67,52.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
