suite,environment,pair_key,grid_size,robot_count,algorithm,top_k_rate,top_k_max_cells,top_k_basis,comm_model,comm_level,paired_trials,max_steps_mean,max_steps_median,max_steps_mean_ci95_low,max_steps_mean_ci95_high,total_step_degradation_mean,total_step_degradation_median,total_step_degradation_mean_ci95_low,total_step_degradation_mean_ci95_high,total_step_degradation_pct_mean,total_step_degradation_pct_median,total_step_degradation_pct_mean_ci95_low,total_step_degradation_pct_mean_ci95_high
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,ACBBA,0.05,18,grid_cells,bernoulli,0.25,50,74.4,65.5,61.818,88.74099999999999,6.08,0.0,-30.4015,40.0605,8.14152184281365,0.0,-3.125016007448943,20.40929982063206
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,ACBBA,0.1,36,grid_cells,bernoulli,0.25,50,72.68,72.0,59.899,84.8605,4.96,0.0,-23.322,30.900499999999997,5.5631659763844485,0.0,-2.763366778052389,14.812922536227017
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,ACBBA,0.25,90,grid_cells,bernoulli,0.25,50,69.28,62.0,56.358,83.201,-8.6,0.0,-31.781000000000002,12.760999999999994,-2.113629006419675,0.0,-8.23232914131187,3.3039914134393493
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,ACBBA,0.5,181,grid_cells,bernoulli,0.25,50,70.68,68.0,59.719,81.74,-2.06,0.0,-21.5415,18.744499999999974,4.416153795424518,0.0,-3.9118621863941563,15.416036618722785
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,ACBBA,0.75,271,grid_cells,bernoulli,0.25,50,71.36,66.0,59.52,83.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,ACBBA,1,361,grid_cells,bernoulli,0.25,50,71.36,66.0,59.479,83.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,CBAA,0.05,18,grid_cells,bernoulli,0.25,50,74.52,71.0,60.134,88.3405,-13.84,0.0,-44.923,17.522999999999982,-2.618815272141494,0.0,-9.936395321556624,4.926016781611131
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,CBAA,0.1,36,grid_cells,bernoulli,0.25,49,81.95918367346938,78.0,66.75102040816327,97.32857142857141,-0.6326530612244898,0.0,-28.61734693877551,26.046428571428542,2.4476333218489352,0.0,-4.870573526301518,10.397247826558571
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,CBAA,0.25,90,grid_cells,bernoulli,0.25,50,82.36,68.5,66.42,100.00099999999999,-0.42,0.0,-28.669,25.460999999999995,3.9038025421646223,0.0,-5.369911078021528,13.867622308244165
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,CBAA,0.5,181,grid_cells,bernoulli,0.25,50,79.02,68.0,65.56,94.92299999999999,-6.4,0.0,-22.923000000000002,9.020499999999997,-0.4269318759745544,0.0,-5.127153452390424,4.240581126037592
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,CBAA,0.75,271,grid_cells,bernoulli,0.25,50,81.3,64.5,66.273,97.06249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,CBAA,1,361,grid_cells,bernoulli,0.25,50,81.3,64.5,66.6195,96.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,DGA,0.05,18,grid_cells,bernoulli,0.25,50,74.74,73.0,62.775,88.70299999999999,22.0,0.5,-13.764999999999999,56.58799999999995,16.53685278995476,0.13513513513513514,2.4841537898091395,32.224655516235835
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,DGA,0.1,36,grid_cells,bernoulli,0.25,50,74.84,65.0,61.619499999999995,88.26050000000001,17.58,0.0,-12.602,49.94049999999999,15.663477976988052,0.0,-0.6650183572835608,39.441359701933216
communication,comm_g19_r4_bernoulli_drop025,clue_g19,19,4,DGA,0.25,90,grid_cells,bernoulli,0.25,49,71.18367346938776,65.0,56.71377551020408,87.46938775510205,7.469387755102041,0.0,-30.00204081632653,45.77806122448978,5.360797821876811,0.0,-6.781138767924802,17.441112731949893
