condition_id,algorithm,top_k_rate,top_k_max_cells,scenario_count,robot_rows,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean
multitarget_g19_r4_t50_cbaa_topk100,CBAA,1,50,100,400,18241,10073.3298,0.5522356120826709,5800.484,0.3179915574804013,10270,4272.8458,0.4160511976630964
multitarget_g19_r4_t50_cbaa_topk075,CBAA,0.75,38,100,400,18241,9908.3749,0.5431925278219396,5345.5713,0.29305253549695737,10270,4562.8036,0.4442846738072055
multitarget_g19_r4_t50_cbaa_topk050,CBAA,0.5,25,100,400,18241,9450.3011,0.5180802094183433,4617.8529,0.2531578805986514,10270,4832.4482,0.47054023369036024
multitarget_g19_r4_t50_cbaa_topk025,CBAA,0.25,13,100,400,18241,8374.6621,0.459112005920728,3557.125,0.19500712680225865,10270,4817.5371,0.46908832521908467
multitarget_g19_r4_t50_cbaa_topk010,CBAA,0.1,5,100,400,18241,7552.2058,0.41402367194780987,2759.166,0.15126177292911575,10270,4793.0398,0.46670299902629014
multitarget_g19_r4_t50_cbaa_topk005,CBAA,0.05,3,100,400,18428,7510.4565,0.4075567885825917,2589.091,0.140497666594313,10502,4921.3655,0.46861221672062464
multitarget_g19_r4_t50_acbba_topk100,ACBBA,1,50,100,400,21408,46384.8547,2.1667065909940213,36987.1521,1.7277257146860987,21408,9397.7026,0.4389808763079223
multitarget_g19_r4_t50_acbba_topk075,ACBBA,0.75,38,100,400,21408,44749.509,2.0903171244394616,34366.5934,1.6053154615097158,21408,10382.9156,0.4850016629297459
multitarget_g19_r4_t50_acbba_topk050,ACBBA,0.5,25,100,400,21408,38899.6801,1.8170627849402092,27905.2061,1.3034943058669657,21408,10994.474,0.5135684790732437
multitarget_g19_r4_t50_acbba_topk025,ACBBA,0.25,13,100,400,21366,30152.6095,1.4112426050734812,18802.7375,0.8800307731910512,21366,11349.872,0.53121183188243
multitarget_g19_r4_t50_acbba_topk010,ACBBA,0.1,5,100,400,21413,22676.0319,1.0589843506281231,11217.475699999999,0.5238628730210619,21413,11458.5562,0.5351214776070612
multitarget_g19_r4_t50_acbba_topk005,ACBBA,0.05,3,100,400,24252,22936.8673,0.9457721961075376,9916.2452,0.408883605475837,24252,13020.6221,0.5368885906317005
multitarget_g19_r4_t50_pi_topk100,PI,1,50,100,400,24932,74661.8653,2.994619978341088,67284.2787,2.6987116436707845,19047,7377.5866,0.38733588491625975
multitarget_g19_r4_t50_pi_topk075,PI,0.75,38,100,400,24932,71648.6808,2.873763869725654,63374.8349,2.5419073840847104,19047,8273.8459,0.4343910274583924
multitarget_g19_r4_t50_pi_topk050,PI,0.5,25,100,400,24741,61531.4056,2.487021769532355,53105.4436,2.146455017986338,18860,8425.962,0.44676362672322373
multitarget_g19_r4_t50_pi_topk025,PI,0.25,13,100,400,26167,50801.9042,1.9414493140214772,41798.4269,1.5973717621431573,20239,9003.4773,0.4448578141212511
multitarget_g19_r4_t50_pi_topk010,PI,0.1,5,100,400,26197,44032.3028,1.6808147039737373,33855.2371,1.2923325991525747,21873,10177.0657,0.4652798290129383
multitarget_g19_r4_t50_pi_topk005,PI,0.05,3,100,400,29197,48698.6153,1.6679321608384423,34637.673,1.1863435626947976,27833,14060.9423,0.5051896058635433
multitarget_g19_r4_t50_hipc_topk100,HIPC,1,50,100,400,20891,199680.8822,9.558225178306447,189127.6654,9.05306904408597,20891,10553.2168,0.5051561342204777
multitarget_g19_r4_t50_hipc_topk075,HIPC,0.75,38,100,400,20901,185744.3136,8.886862523324243,174131.7995,8.331266422659203,20901,11612.5141,0.55559610066504
multitarget_g19_r4_t50_hipc_topk050,HIPC,0.5,25,100,400,21395,129573.1056,6.056233026408039,117355.3216,5.485175115681233,21395,12217.784,0.5710579107268053
