trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,393,90,303,313,84,3,3,3,1641,4921,0,484,1157,889,752,1461,752,0.0,5.242811501597444,4.821782178217822,1.9134860050890585,2.4818481848184817,2.402555910543131,acbba_entry:752;clue:12;collision_intent:483;state:393;target:1,115,444,0.0678913738019169,completed,1132,1948.9797500000004,25.85335,748.4019390000002,24.746611,1044,1200.577811,18.65028
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,78,53,25,82,0,0,0,0,222,661,0,86,136,168,54,116,54,0.0,2.707317073170732,4.64,0.6923076923076923,2.16,0.6585365853658537,acbba_entry:54;clue:4;collision_intent:85;state:78;target:1,22,61,0.06707317073170738,completed,117,151.051084,17.906632,19.462740999999998,0.449986,65,131.588343,17.608338
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,202,98,104,181,25,0,3,2,754,2259,0,236,518,446,308,558,308,0.0,4.165745856353591,5.365384615384615,1.5247524752475248,2.9615384615384617,1.701657458563536,acbba_entry:308;clue:8;collision_intent:235;state:202;target:1,59,197,0.07320441988950277,completed,344,418.14424700000006,1.871981,129.48235900000003,0.771194,247,288.661888,1.40737
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,294,67,227,237,61,2,2,2,1145,3430,0,355,790,665,480,1010,480,0.0,4.831223628691983,4.4493392070484585,1.6326530612244898,2.1145374449339207,2.0253164556962027,acbba_entry:480;clue:16;collision_intent:354;state:294;target:1,91,315,0.07700421940928259,completed,972,1622.6410789999998,22.246884,609.916909,21.174932,906,1012.7241700000002,17.136485
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,41,24,17,45,0,0,0,0,132,394,0,46,86,91,41,84,41,0.0,2.933333333333333,4.9411764705882355,1.0,2.411764705882353,0.9111111111111111,acbba_entry:41;clue:4;collision_intent:45;state:41;target:1,12,35,0.07222222222222219,completed,66,80.420491,1.988853,11.393428,0.374652,44,69.02706300000001,1.65222
5,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,343,122,221,281,66,1,2,2,1300,3897,0,405,895,764,536,1056,536,0.0,4.6263345195729535,4.778280542986425,1.5626822157434401,2.425339366515837,1.907473309608541,acbba_entry:536;clue:16;collision_intent:404;state:343;target:1,106,354,0.12010676156583622,completed,1018,1435.8740799999994,3.708212,609.165765,2.921177,898,826.7083149999999,3.02461
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,103,21,82,97,10,2,1,1,418,1251,0,120,298,227,191,376,191,0.0,4.309278350515464,4.585365853658536,1.854368932038835,2.3292682926829267,1.9690721649484537,acbba_entry:191;clue:4;collision_intent:119;state:103;target:1,29,109,0.038659793814433074,completed,201,338.571917,2.613411,61.861048999999994,1.14479,182,276.71086800000006,1.896461
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,47,5,42,45,6,1,2,2,209,626,0,54,155,109,100,198,100,0.0,4.644444444444445,4.714285714285714,2.127659574468085,2.380952380952381,2.2222222222222223,acbba_entry:100;clue:8;collision_intent:53;state:47;target:1,13,56,0.1166666666666667,completed,80,171.33396600000003,18.158184,20.920817,0.628591,74,150.41314899999998,17.676931
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,95,34,61,93,6,1,3,3,376,1126,0,111,265,218,158,308,158,0.0,4.043010752688172,5.049180327868853,1.6631578947368422,2.5901639344262297,1.6989247311827957,acbba_entry:158;clue:12;collision_intent:110;state:95;target:1,29,99,0.07795698924731176,completed,173,274.125903,17.966614,63.06209600000001,16.41693,141,211.06380700000003,1.613784
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,11,0,11,15,0,0,0,0,51,150,0,13,38,28,23,51,23,0.0,3.4,4.636363636363637,2.090909090909091,2.090909090909091,1.5333333333333334,acbba_entry:23;clue:4;collision_intent:12;state:11;target:1,3,14,0.050000000000000044,completed,12,23.996567000000002,2.086715,3.585357,0.375132,12,20.411209999999997,1.740098
10,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_acbba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,331,29,302,256,79,3,3,3,1372,4114,0,413,959,760,612,1314,612,0.0,5.359375,4.3509933774834435,1.848942598187311,2.0264900662251657,2.390625,acbba_entry:612;clue:16;collision_intent:412;state:331;target:1,93,361,0.099609375,completed,1141,2122.466266,18.008249,846.0216699999999,1.513328,1114,1276.444596,17.48005
