trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,436,90,346,323,117,21,2,2,1371,4112,0,477,894,925,446,1191,446,0.0,4.244582043343653,3.4421965317919074,1.0229357798165137,1.2890173410404624,1.3808049535603715,clue:12;collision_intent:476;pi_clear_path:43;pi_entry:403;state:436;target:1,115,368,0.0797213622291022,completed,,,,428,730.480521,18.70211,381.0950669999999,1.854333,340,349.385454,17.279601
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,85,53,32,89,0,3,0,0,235,703,0,92,143,181,54,129,54,0.0,2.640449438202247,4.03125,0.6352941176470588,1.6875,0.6067415730337079,clue:4;collision_intent:91;pi_clear_path:7;pi_entry:47;state:85;target:1,22,62,0.0196629213483146,completed,,,,88,83.119277,2.800764,28.910990999999996,1.156054,36,54.208286,1.729058
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,222,98,124,184,42,9,3,3,617,1850,0,239,378,469,148,421,148,0.0,3.3532608695652173,3.3951612903225805,0.6666666666666666,1.1935483870967742,0.8043478260869565,clue:8;collision_intent:238;pi_clear_path:12;pi_entry:136;state:222;target:1,59,163,0.040760869565217295,completed,,,,208,255.91919100000004,18.337899,95.121369,1.380653,111,160.79782200000002,17.48961
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,289,67,222,233,60,11,0,0,797,2387,0,309,488,610,187,662,187,0.0,3.4206008583690988,2.981981981981982,0.6470588235294118,0.8423423423423423,0.8025751072961373,clue:12;collision_intent:308;pi_clear_path:22;pi_entry:165;state:289;target:1,82,216,0.07832618025751081,completed,,,,286,507.0099000000001,18.080628,249.65677400000004,17.081336,220,257.35312600000003,1.713602
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,46,24,22,49,1,1,0,0,132,391,0,50,82,100,32,84,32,0.0,2.693877551020408,3.8181818181818183,0.6956521739130435,1.4545454545454546,0.6530612244897959,clue:4;collision_intent:49;pi_clear_path:3;pi_entry:29;state:46;target:1,14,40,0.09693877551020402,completed,,,,61,93.493116,3.117776,27.826105,1.249523,39,65.667011,1.868253
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,62,21,41,63,3,3,1,1,186,554,0,65,121,131,55,144,55,0.0,2.9523809523809526,3.5121951219512195,0.8870967741935484,1.3414634146341464,0.873015873015873,clue:4;collision_intent:64;pi_clear_path:1;pi_entry:54;state:62;target:1,16,49,0.03571428571428581,completed,,,,44,66.25624499999999,3.337512,23.881799,1.183958,25,42.374446,2.242895
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,38,5,33,39,3,3,0,0,122,363,0,39,83,85,37,111,37,0.0,3.128205128205128,3.3636363636363638,0.9736842105263158,1.121212121212121,0.9487179487179487,clue:8;collision_intent:38;pi_clear_path:1;pi_entry:36;state:38;target:1,10,36,0.08333333333333326,completed,,,,17,31.754636,3.268426,12.444067,1.585958,11,19.310569,1.838558
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,370,34,336,305,69,9,6,5,1067,3199,0,413,654,799,268,999,268,0.0,3.498360655737705,2.9732142857142856,0.7243243243243244,0.7976190476190477,0.8786885245901639,clue:16;collision_intent:412;pi_clear_path:43;pi_entry:225;state:370;target:1,103,292,0.04672131147540992,completed,,,,671,1460.010897,19.262027,672.1484610000001,17.929563,639,787.8624359999999,17.626534
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,0,1,5,0,0,0,0,22,64,0,5,17,10,12,22,12,0.0,4.4,22.0,12.0,12.0,2.4,clue:4;collision_intent:4;pi_entry:12;state:1;target:1,1,7,0.1499999999999999,completed,,,,4,11.306920999999999,2.875353,4.321829,1.121079,4,6.985092,1.754592
10,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.01,4,,,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,303,29,274,258,49,16,2,2,871,2609,0,331,540,650,221,813,221,0.0,3.375968992248062,2.9671532846715327,0.7293729372937293,0.8065693430656934,0.8565891472868217,clue:16;collision_intent:330;pi_clear_path:26;pi_entry:195;state:303;target:1,83,230,0.01744186046511631,completed,,,,305,644.0779719999999,22.480568,273.03164200000003,16.909728,278,371.04632999999995,21.831856
