trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status,target_cells_per_robot,actual_cells_per_robot,failure_type,failure_message
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1462.332331,00,92,23,69,160.8253440000001,1.7481015652173924,1.898188,2.409577,18.65216,80.40001600000001,0.8739132173913045,0.9550544999999999,1.627429,1.746849,10.997865573417323,69,80.42532799999998,1.1655844637681156,17.230835,0.747973,160.07737100000008,10.997865573417323,completed,,,,
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1462.332331,01,117,22,95,209.57367099999993,1.7912279572649568,1.889916,2.38993,18.70211,101.95684899999998,0.8714260598290596,0.93923,1.581575,1.749601,14.331466695856014,95,107.61682200000004,1.1328086526315795,17.279601,0.822692,208.75097899999994,14.331466695856014,completed,,,,
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1462.332331,02,89,23,66,140.25693799999996,1.5759206516853927,1.935931,2.429769,2.661344,78.286081,0.8796188876404494,1.078842,1.675172,1.817055,9.591317584019139,66,61.970857,0.9389523787878788,1.501033,0.8969590000000001,139.35997899999995,9.591317584019139,completed,,,,
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1462.332331,03,130,20,110,219.82456800000003,1.6909582153846157,1.8818044999999999,2.404489,2.891832,120.45212099999998,0.9265547769230768,1.071642,1.5514,1.854333,15.03246309610589,110,99.372447,0.9033858818181818,1.558248,0.8234259999999999,219.001142,15.03246309610589,completed,,,,
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,189.970435,00,25,14,11,24.729574,0.98918296,0.032191,2.533221,2.649665,8.391122,0.33564488,0.032191,1.071418,1.089241,13.017590868810716,11,16.338452,1.4853138181818182,1.578247,0.430512,24.299062,13.017590868810716,completed,,,,
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,189.970435,01,20,13,7,16.872417000000002,0.8436208500000001,0.035567,2.587234,2.800764,6.253279,0.31266395,0.035567,1.068248,1.071706,8.881601497622512,7,10.619138,1.5170197142857142,1.729058,0.4380339999999999,16.434383,8.881601497622512,completed,,,,
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,189.970435,02,20,13,7,14.413113,0.72065565,0.0362865,2.558852,2.641025,5.3254090000000005,0.26627045000000005,0.0362865,1.046618,1.082233,7.587029529094881,6,9.087704,1.5146173333333335,1.594407,0.499374,13.913739,7.587029529094881,completed,,,,
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,189.970435,03,23,11,12,27.104173000000003,1.1784423043478263,2.023767,2.554979,2.745533,8.941180999999998,0.38874699999999995,0.56174,1.062681,1.156054,14.267574320183032,12,18.162992000000003,1.513582666666667,1.589479,0.35208300000000003,26.752090000000003,14.267574320183032,completed,,,,
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,536.771861,00,40,25,15,34.709561,0.867739025,0.031023000000000002,2.457767,2.579779,14.77428,0.369357,0.031023000000000002,1.168726,1.342736,6.466352564632668,15,19.935281,1.3290187333333334,1.487019,0.8130259999999999,33.896535,6.466352564632668,completed,,,,
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.01,4,4,bayesian_pi_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,536.771861,01,66,24,42,88.89647800000004,1.346916333333334,1.954953,2.477799,2.613602,34.593697,0.5241469242424243,0.641481,1.16687,1.324976,16.561314863708933,42,54.302781000000024,1.2929233571428578,1.483914,0.8562279999999999,88.04025000000004,16.561314863708933,completed,,,,
