condition_id,mission,algorithm,top_k_level,top_k_rate,top_k_cells,trial_id,run_generation,device_id,build_id,journaled_at,scenario_file,scenario_sha256,trial_status,total_team_steps,max_steps_any_robot,events_processed,allocator_call_count,timed_allocator_call_count,calls_with_filter,candidate_filter_invocation_count,call_class_counts,allocator_time_total_us,allocator_time_mean_us,allocator_time_median_us,allocator_time_p95_us,allocator_time_max_us,candidate_filter_time_total_us,candidate_filter_time_mean_us,candidate_filter_time_median_us,candidate_filter_time_p95_us,candidate_filter_time_max_us,allocator_exclusive_time_total_us,allocator_exclusive_time_mean_us,allocator_exclusive_time_median_us,allocator_exclusive_time_p95_us,allocator_exclusive_time_max_us,campaign_id,campaign_manifest_schema,campaign_manifest_sha256,implementation_id,campaign_build_id,build_manifest_sha256,allocator_source_bundle_sha256,deployed_module_set_sha256,host_source_sha256,simulator_source_sha256,analysis_valid,invalidation_reason,historical_system_csv,historical_system_sha256
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,127,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785615234.613264,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,148,37,309,146,146,4,4,cached_or_maintenance:138;partial_bundle_refill:8,5933494.0,40640.3698630137,19800.0,20501.0,793885.0,2333473.0,15982.691780821919,0.0,0.0,590213.0,3600021.0,24657.678082191782,19800.0,20501.0,203672.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,132,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785616889.109189,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,288,73,672,187,187,69,69,cached_or_maintenance:114;candidate_filter_only:4;partial_bundle_refill:69,54632701.0,292153.48128342244,20105.0,816604.0,867532.0,34133669.0,182532.98930481283,0.0,507501.0,638741.0,20499032.0,109620.49197860963,20105.0,346758.0,409247.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,164,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785619303.4378011,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,403,102,947,211,211,126,126,cached_or_maintenance:81;candidate_filter_only:4;partial_bundle_refill:126,108913653.0,516178.45023696683,719812.0,987241.0,1035797.0,59500490.0,281992.8436018957,418392.0,517573.0,648196.0,49413163.0,234185.6066350711,196628.0,581266.0,636542.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,166,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785621798.9404237,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,376,95,946,181,181,157,157,cached_or_maintenance:20;candidate_filter_only:15;partial_bundle_refill:146,144008977.0,795629.7071823204,869649.0,1165945.0,1193837.0,72662828.0,401452.08839779004,455258.0,525725.0,678161.0,71346149.0,394177.6187845304,403988.0,789406.0,818485.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,178,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785622367.9222765,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,114,29,269,66,66,28,28,cached_or_maintenance:34;partial_bundle_refill:32,22271535.0,337447.5,20029.0,866166.0,887265.0,15497906.0,234816.75757575757,0.0,702869.0,717812.0,6773629.0,102630.74242424243,20029.0,251680.0,280429.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,216,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785622697.4314344,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,56,14,129,38,38,18,18,cached_or_maintenance:16;partial_bundle_refill:22,14603968.0,384314.94736842107,20731.0,879787.0,908293.0,10376665.0,273070.13157894736,0.0,714970.0,736351.0,4227303.0,111244.81578947368,20731.0,243159.0,246305.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,226,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785623475.1016026,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,124,32,308,80,80,52,52,cached_or_maintenance:24;candidate_filter_only:9;partial_bundle_refill:47,41300917.0,516261.4625,734870.5,851110.0,886811.0,27895368.0,348692.1,512158.0,567002.0,708320.0,13405549.0,167569.3625,190007.5,328797.0,378597.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,233,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785623879.0610507,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,73,19,181,41,41,32,32,cached_or_maintenance:5;candidate_filter_only:5;partial_bundle_refill:31,24392444.0,594937.6585365854,751397.0,834266.0,853918.0,17630182.0,430004.43902439025,529188.0,678424.0,693160.0,6762262.0,164933.21951219512,193872.0,266198.0,279499.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,274,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785625282.7510407,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,192,51,480,150,150,72,72,cached_or_maintenance:74;candidate_filter_only:11;partial_bundle_refill:65,55889468.0,372596.4533333333,20391.5,861776.0,917394.0,36994517.0,246630.11333333334,0.0,522398.0,648162.0,18894951.0,125966.34,20391.5,371052.0,432771.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,313,1,e4621cb30b0b342f,micropython_1_24_o0_2539f0c4fe4d,1785626249.6110108,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\simulator\scenarios\final_trial_500.csv,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,completed,170,43,400,110,110,44,44,cached_or_maintenance:62;partial_bundle_refill:48,35325598.0,321141.8,19951.5,813811.0,835474.0,23424334.0,212948.4909090909,0.0,536745.0,676522.0,11901264.0,108193.3090909091,19951.5,300072.0,310878.0,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,b1c51cb7bdb531f461f8bb8832fef6ab74619bffe0fef7294b38d72c241fd19a,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,True,,,
