"condition_id","mission","algorithm","top_k_level","top_k_rate","top_k_cells","status","stopped_reason","representative","completed_trial_count","failed_trial_count","planned_trial_count","historical_system_csv","historical_system_sha256","device_ids","mixed_device_condition","build_ids","campaign_id","campaign_manifest_schema","campaign_manifest_sha256","implementation_id","campaign_build_id","build_manifest_sha256","allocator_source_bundle_sha256","deployed_module_set_sha256","host_source_sha256","simulator_source_sha256","scenario_sha256","analysis_valid","invalidation_reason","allocator_call_count","timed_allocator_call_count","calls_with_filter","candidate_filter_invocation_count","call_class_counts","allocator_time_total_us","allocator_time_mean_us","allocator_time_median_us","allocator_time_p95_us","allocator_time_max_us","candidate_filter_time_total_us","candidate_filter_time_mean_us","candidate_filter_time_median_us","candidate_filter_time_p95_us","candidate_filter_time_max_us","allocator_exclusive_time_total_us","allocator_exclusive_time_mean_us","allocator_exclusive_time_median_us","allocator_exclusive_time_p95_us","allocator_exclusive_time_max_us"
"bayesian_cbaa_topk_005_k18","bayesian","CBAA","5%","0.05","18","complete","","True","25","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\cbaa_topk_5\system_performance.csv","9d3439b983f93c6a7d55bd3a81be15197e7fbc83e58f26ee3f66ee760d28af89","e4621cb30b4b372f","False","micropython_1_24_o0_2539f0c4fe4d","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","3751","3751","1908","1908","cached_or_maintenance:1843;candidate_filter_only:1908","1426882014.0","380400.4302852573","600355.0","856208.0","1477338.0","1080711223.0","288112.8293788323","357908.0","733339.0","1371219.0","346170791.0","92287.60090642495","99523.0","271167.0","490475.0"
"bayesian_cbaa_topk_010_k36","bayesian","CBAA","10%","0.1","36","complete","","True","25","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\cbaa_topk_10\system_performance.csv","492bed33a59632f4de4d5945ed0f9637013baf3d5109313622bad123cd07f93d","e4621cb30b16392f","False","micropython_1_24_o0_2539f0c4fe4d","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","4009","4009","2166","2166","cached_or_maintenance:1843;candidate_filter_only:2166","2496776314.0","622792.7947118982","763521.0","1877971.0","3269387.0","1942638079.0","484569.23896233476","447111.0","1710401.0","3103666.0","554138235.0","138223.55574956347","161214.0","399539.0","595309.0"
"bayesian_cbaa_topk_025_k90","bayesian","CBAA","25%","0.25","90","complete","","True","25","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\cbaa_topk_25\system_performance.csv","ce5b4f008c1c902a605428ee2f617c7fd5b80e23305bd8e7f1423797f064961d","e4621cb30b16392f","False","micropython_1_24_o0_2539f0c4fe4d","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","4074","4074","2233","2233","cached_or_maintenance:1841;candidate_filter_only:2233","7246020338.0","1778600.966617575","1161581.0","6796699.0","9872442.0","6335677269.0","1555149.059646539","740769.0","6429943.0","9521162.0","910343069.0","223451.90697103585","331625.5","508615.0","619453.0"
"bayesian_cbaa_topk_050_k181","bayesian","CBAA","50%","0.5","181","complete","","True","25","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\cbaa_topk_50\system_performance.csv","e5422c5df52f6fc8b5299fbbe0bd85faedb6288f4a066320804a0d60421266aa","e4621cb30b0b342f","False","micropython_1_24_o0_2539f0c4fe4d","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","4146","4146","2304","2304","cached_or_maintenance:1842;candidate_filter_only:2304","11293837773.0","2724032.2655571634","903892.0","10296525.0","20065548.0","9841984376.0","2373850.5489628557","394320.5","9641717.0","19424652.0","1451853397.0","350181.71659430774","502463.5","721694.0","817203.0"
"bayesian_cbaa_topk_075_k271","bayesian","CBAA","75%","0.75","271","complete","","True","25","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\cbaa_topk_75\system_performance.csv","f19d694cb7fce5a779d3efe8b31cf17e7ae4c9982360913a6f9c8fd7760acbf1","e4621cb30b43372f","False","micropython_1_24_o0_2539f0c4fe4d","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","4129","4129","2288","2288","cached_or_maintenance:1841;candidate_filter_only:2288","8612554499.0","2085869.3385807702","877783.0","12064101.0","25442403.0","6888347870.0","1668284.783240494","393880.0","11163113.0","24529957.0","1724206629.0","417584.5553402761","483424.0","929413.0","999197.0"
"bayesian_cbaa_topk_100_k361","bayesian","CBAA","100%","1.0","361","complete","","True","25","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\cbaa_topk_100\system_performance.csv","0d8aea04239ef36a37585b695be98caa030fa9c4a05a016e78d1a4c57eecf39c","e4621cb30b2b352f","False","micropython_1_24_o0_2539f0c4fe4d","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","4129","4129","2288","2288","cached_or_maintenance:1841;candidate_filter_only:2288","2841092294.0","688082.4155969969","877479.0","1553519.0","1749645.0","1057528645.0","256122.21966577863","393815.0","508783.0","561073.0","1783563649.0","431960.1959312182","482998.0","1044072.0","1207117.0"
"bayesian_dga_topk_001_k4","bayesian","DGA","1%","0.01","4","stopped","timing_unusable_30s","False","0","0","25","","","","False","","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","","","","","","","","","","","","","","","","","","","",""
"bayesian_dga_topk_003_k11","bayesian","DGA","3%","0.03","11","stopped","timing_unusable_30s","False","0","0","25","","","","False","","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","","","","","","","","","","","","","","","","","","","",""
"bayesian_dga_topk_005_k18","bayesian","DGA","5%","0.05","18","stopped","timing_unusable_30s","False","0","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\dga_topk_5\system_performance.csv","bdc2da018e3557e201238e5da540eac5ef6e838d806e9e1d01b4ef73642a21a1","","False","","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","","","","","","","","","","","","","","","","","","","",""
"bayesian_dga_topk_010_k36","bayesian","DGA","10%","0.1","36","stopped","timing_unusable_30s","False","0","0","25","C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\dga_topk_10\system_performance.csv","57804f1ef3f4619d478522ba48899d5c5072db2a010ae65566d2a98f3f31b8f2","","False","","pololu_native_persistent_v8","2","e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166","pololu_native_persistent_hil_v2","micropython_1_24_o0_2539f0c4fe4d","7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb","2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268","ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee","06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081","c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8","9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085","True","","","","","","","","","","","","","","","","","","","","",""
