suite,environment,pair_key,grid_size,robot_count,algorithm,top_k_rate,top_k_max_cells,top_k_basis,comm_model,comm_level,trial_id,max_steps_any_robot,total_step_degradation,total_step_degradation_pct
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,0,142.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,1,54.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,2,85.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,3,30.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,4,67.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,5,63.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,6,11.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,7,106.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,8,12.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,9,65.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,10,88.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,11,67.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,12,29.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,13,126.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,14,118.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,15,61.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,16,37.0,0.0,0.0
scale,scale_g19_r2,clue_g19,19,2,CBAA,1,361,grid_cells,ideal,,17,95.0,0.0,0.0
