trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,378,90,288,286,96,30,8,7,1314,3938,0,387,927,777,537,1134,537,0.0,4.594405594405594,3.9375,1.4206349206349207,1.8645833333333333,1.8776223776223777,clue:12;collision_intent:386;dga_entry:537;state:378;target:1,96,355,0.054195804195804165,completed,272,17212.803621000003,282.648425,17060.282845000005,281.574961,112,152.520776,13.248531
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,87,53,34,90,1,5,0,0,320,957,0,88,232,179,141,214,141,0.0,3.5555555555555554,6.294117647058823,1.6206896551724137,4.147058823529412,1.5666666666666667,clue:4;collision_intent:87;dga_entry:141;state:87;target:1,22,86,0.011111111111111072,completed,73,2933.982296,172.61416,2900.397368,170.729304,18,33.584928,2.052308
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,183,98,85,166,21,6,0,0,664,1990,0,185,479,376,288,468,288,0.0,4.0,5.5058823529411764,1.5737704918032787,3.388235294117647,1.7349397590361446,clue:8;collision_intent:184;dga_entry:288;state:183;target:1,47,192,0.04518072289156616,completed,160,8086.431887,288.296433,7975.6312960000005,286.700428,46,110.80059100000001,21.648477
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,355,67,288,261,98,23,3,3,1158,3472,0,359,799,730,428,1023,428,0.0,4.436781609195402,3.5520833333333335,1.2056338028169014,1.4861111111111112,1.6398467432950192,clue:16;collision_intent:358;dga_entry:428;state:355;target:1,89,308,0.014367816091954033,completed,228,16035.027468000002,268.427051,15865.545681,266.995744,105,169.481787,15.037875
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,39,24,15,43,0,4,0,0,195,582,0,40,155,83,112,147,112,0.0,4.534883720930233,9.8,2.871794871794872,7.466666666666667,2.604651162790698,clue:4;collision_intent:39;dga_entry:112;state:39;target:1,10,60,0.01744186046511631,completed,34,2205.180878,228.608534,2148.0762059999997,210.307836,12,57.104672,18.300698
5,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,446,122,324,297,153,18,25,24,1362,4081,0,472,890,934,428,1118,428,0.0,4.585858585858586,3.450617283950617,0.9596412556053812,1.3209876543209877,1.4410774410774412,clue:16;collision_intent:471;dga_entry:428;state:446;target:1,114,355,0.06649831649831639,completed,286,15966.22968,277.697394,15837.353583,276.720662,109,128.876097,1.678082
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,119,21,98,111,12,13,2,2,523,1564,0,122,401,245,278,481,278,0.0,4.711711711711712,4.908163265306122,2.3361344537815127,2.836734693877551,2.5045045045045047,clue:4;collision_intent:121;dga_entry:278;state:119;target:1,31,146,0.04729729729729737,completed,90,6961.346320000001,201.879595,6853.797165,183.665259,47,107.549155,18.214336
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,24,5,19,27,1,6,0,0,169,505,0,25,144,53,116,158,116,0.0,6.2592592592592595,8.31578947368421,4.833333333333333,6.105263157894737,4.296296296296297,clue:4;collision_intent:24;dga_entry:116;state:24;target:1,6,51,0.02777777777777768,completed,19,2039.2140729999999,201.884081,2010.8790520000002,199.77795,12,28.335020999999998,3.233609
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,136,34,102,121,19,13,7,2,525,1572,0,146,379,294,231,457,231,0.0,4.338842975206612,4.480392156862745,1.6985294117647058,2.264705882352941,1.9090909090909092,clue:12;collision_intent:145;dga_entry:231;state:136;target:1,35,143,0.051652892561983466,completed,109,7824.578622000001,261.531869,7726.224165,259.48692,51,98.354457,2.194703
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,45,0,45,42,7,6,1,1,268,802,0,47,221,96,172,268,172,0.0,6.380952380952381,5.955555555555556,3.8222222222222224,3.8222222222222224,4.095238095238095,clue:4;collision_intent:46;dga_entry:172;state:45;target:1,12,80,0.059523809523809534,completed,31,3854.789492,185.674226,3799.852731,183.436836,25,54.936761000000004,2.494884
10,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,213,29,184,186,31,16,6,6,737,2209,0,220,517,445,292,679,292,0.0,3.9623655913978495,3.6902173913043477,1.3708920187793427,1.5869565217391304,1.5698924731182795,clue:12;collision_intent:219;dga_entry:292;state:213;target:1,54,193,0.013440860215053752,completed,114,8332.437442999999,235.926653,8220.010983999999,233.874536,53,112.42645900000001,18.94724
11,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,253,82,171,207,50,7,1,1,840,2517,0,256,584,513,327,675,327,0.0,4.057971014492754,3.9473684210526314,1.2924901185770752,1.912280701754386,1.5797101449275361,clue:4;collision_intent:255;dga_entry:327;state:253;target:1,64,235,0.04468599033816423,completed,178,10185.779153,371.566298,10075.034711,370.032434,63,110.744442,14.912284
12,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,149,137,12,152,1,2,0,0,365,1093,0,151,214,304,61,91,61,0.0,2.401315789473684,7.583333333333333,0.40939597315436244,5.083333333333333,0.40131578947368424,clue:4;collision_intent:150;dga_entry:61;state:149;target:1,38,95,0.009868421052631637,completed,142,1215.49357,196.208518,1188.614492,194.707677,7,26.879078000000003,17.742325
13,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,52,7,45,54,2,7,0,0,264,790,0,53,211,117,147,249,147,0.0,4.888888888888889,5.533333333333333,2.826923076923077,3.2666666666666666,2.7222222222222223,clue:12;collision_intent:52;dga_entry:147;state:52;target:1,13,78,0.0185185185185186,completed,31,2547.946723,200.258771,2515.255859,198.193023,15,32.690864000000005,2.751707
14,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,153,94,59,143,14,10,1,1,604,1808,0,157,447,322,282,416,282,0.0,4.223776223776224,7.0508474576271185,1.8431372549019607,4.779661016949152,1.972027972027972,clue:12;collision_intent:156;dga_entry:282;state:153;target:1,39,164,0.012237762237762295,completed,134,5628.608548,266.531071,5572.082049000001,264.887292,33,56.526498999999994,2.170736
15,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,37,29,8,41,0,2,0,0,167,499,0,40,127,81,86,109,86,0.0,4.073170731707317,13.625,2.324324324324324,10.75,2.097560975609756,clue:4;collision_intent:39;dga_entry:86;state:37;target:1,10,46,0.04268292682926833,completed,38,1986.9798569999998,281.969387,1963.46539,279.84604,11,23.514466999999996,2.409992
16,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,362,41,321,264,102,22,6,4,1141,3421,0,370,771,748,393,1059,393,0.0,4.321969696969697,3.2990654205607477,1.0856353591160222,1.2242990654205608,1.4886363636363635,clue:16;collision_intent:369;dga_entry:393;state:362;target:1,92,300,0.07575757575757569,completed,194,14779.082844,315.125233,14631.021249,313.105371,100,148.061595,2.665182
17,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,78,11,67,65,17,8,1,1,386,1154,0,82,304,168,218,364,218,0.0,5.938461538461539,5.432835820895522,2.7948717948717947,3.253731343283582,3.353846153846154,clue:8;collision_intent:81;dga_entry:218;state:78;target:1,21,104,0.10384615384615392,completed,54,5465.942153999999,239.007881,5395.392314999999,236.726748,33,70.54983899999999,3.39866
18,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,179,49,130,159,24,11,1,1,631,1888,0,181,450,368,263,533,263,0.0,3.9685534591194966,4.1,1.4692737430167597,2.023076923076923,1.6540880503144655,clue:8;collision_intent:180;dga_entry:263;state:179;target:1,45,164,0.020440251572326984,completed,116,7032.720234,310.238949,6953.62187,308.208207,45,79.098364,2.034965
19,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dga_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,87,22,65,84,7,3,0,0,387,1159,0,89,298,184,203,343,203,0.0,4.607142857142857,5.276923076923077,2.3333333333333335,3.123076923076923,2.4166666666666665,clue:8;collision_intent:88;dga_entry:203;state:87;target:1,22,104,0.04166666666666674,completed,57,4867.719053,291.442081,4796.285495,289.423274,27,71.433558,18.107916
