trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,431,90,341,312,123,2,7,7,1156,3464,0,439,717,882,274,976,274,0.0,3.7051282051282053,2.8621700879765397,0.6357308584686775,0.8035190615835777,0.8782051282051282,clue:12;collision_intent:438;pi_entry:274;state:431;target:1,109,299,0.03205128205128216,completed,148,232.112833,19.548776,133.949068,2.976176,60,98.16376499999998,17.283517
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,94,53,41,97,1,1,0,0,237,711,0,95,142,193,44,131,44,0.0,2.443298969072165,3.1951219512195124,0.46808510638297873,1.0731707317073171,0.4536082474226804,clue:4;collision_intent:94;pi_clear_path:1;pi_entry:43;state:94;target:1,24,65,0.018041237113401998,completed,63,40.419516,3.913134,22.604789000000004,2.19035,11,17.814727,1.972502
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,213,98,115,178,39,2,4,4,551,1648,0,218,333,439,112,355,112,0.0,3.095505617977528,3.0869565217391304,0.5258215962441315,0.9739130434782609,0.6292134831460674,clue:8;collision_intent:217;pi_entry:112;state:213;target:1,54,142,0.05337078651685401,completed,120,88.00533300000001,4.194884,50.12222800000001,2.642301,23,37.883105,2.134737
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,327,67,260,247,84,0,13,13,880,2638,0,341,539,684,196,745,196,0.0,3.562753036437247,2.8653846153846154,0.599388379204893,0.7538461538461538,0.7935222672064778,clue:16;collision_intent:340;pi_entry:196;state:327;target:1,82,230,0.02530364372469629,completed,111,193.492612,19.522601,128.920005,17.964195,45,64.57260699999999,1.974902
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,53,24,29,54,3,1,0,0,151,451,0,55,96,112,39,103,39,0.0,2.7962962962962963,3.5517241379310347,0.7358490566037735,1.3448275862068966,0.7222222222222222,clue:4;collision_intent:54;pi_entry:39;state:53;target:1,14,41,0.04629629629629628,completed,32,37.835295,3.854992,19.327122,1.964248,10,18.508173,2.008565
5,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,375,122,253,299,80,2,6,6,964,2889,0,382,582,769,195,720,195,0.0,3.2240802675585285,2.8458498023715415,0.52,0.7707509881422925,0.6521739130434783,clue:12;collision_intent:381;pi_entry:195;state:375;target:1,94,257,0.020903010033444858,completed,163,137.07336199999997,3.759189,91.790859,2.585344,43,45.282503000000005,1.483913
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,78,21,57,76,6,2,0,0,235,703,0,79,156,161,74,193,74,0.0,3.0921052631578947,3.3859649122807016,0.9487179487179487,1.2982456140350878,0.9736842105263158,clue:4;collision_intent:78;pi_entry:74;state:78;target:1,21,65,0.019736842105263053,completed,34,59.002798,4.036138,30.468053000000005,2.128113,15,28.534745,1.992085
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,13,5,8,17,0,3,0,0,52,153,0,14,38,31,21,41,21,0.0,3.0588235294117645,5.125,1.6153846153846154,2.625,1.2352941176470589,clue:4;collision_intent:13;pi_entry:21;state:13;target:1,4,16,0.044117647058823595,completed,13,27.90866,4.129959,14.009945000000002,2.113745,7,13.898715000000001,2.169583
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,99,34,65,96,7,2,0,0,283,844,0,100,183,211,72,215,72,0.0,2.9479166666666665,3.3076923076923075,0.7272727272727273,1.1076923076923078,0.75,clue:12;collision_intent:99;pi_clear_path:1;pi_entry:71;state:99;target:1,25,76,0.046875,completed,48,61.407154000000006,4.087688,31.767135000000003,2.14808,16,29.640019000000002,1.993398
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.03,11,,,bayesian_pi_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,0,1,5,0,0,0,0,22,64,0,5,17,10,12,22,12,0.0,4.4,22.0,12.0,12.0,2.4,clue:4;collision_intent:4;pi_entry:12;state:1;target:1,1,7,0.1499999999999999,completed,4,15.178636,3.909519,7.644005,1.972055,4,7.534631,1.992917
