trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,95,38,57,90,9,2,3,3,389,945,218,99,290,206,183,313,183,0.2508630609896433,4.322222222222222,5.491228070175438,1.9263157894736842,3.210526315789474,2.033333333333333,clue:12;collision_intent:98;dga_entry:183;state:95;target:1,24,110,0.02777777777777768,completed,,,
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,222,100,122,185,41,7,3,2,671,1664,345,228,443,462,209,471,209,0.25978915662650603,3.627027027027027,3.860655737704918,0.9414414414414415,1.7131147540983607,1.1297297297297297,clue:12;collision_intent:227;dga_entry:209;state:222;target:1,56,181,0.07972972972972969,completed,,,
2,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,12,12,0,16,0,0,0,0,25,64,7,13,12,25,0,0,0,0.2,1.5625,0.0,0.0,0.0,0.0,collision_intent:12;state:12;target:1,3,7,0.0,completed,,,
3,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,102,75,27,105,1,2,1,1,297,721,169,104,193,210,87,147,87,0.2918825561312608,2.8285714285714287,5.444444444444445,0.8529411764705882,3.2222222222222223,0.8285714285714286,clue:4;collision_intent:103;dga_entry:87;state:102;target:1,26,90,0.0071428571428571175,completed,,,
4,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,90,39,51,87,7,10,2,2,386,925,227,93,293,195,191,308,191,0.2591324200913242,4.436781609195402,6.03921568627451,2.1222222222222222,3.7450980392156863,2.1954022988505746,clue:12;collision_intent:92;dga_entry:191;state:90;target:1,23,107,0.031609195402298784,completed,,,
5,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,300,43,257,190,114,6,11,9,991,2468,502,312,679,628,363,905,363,0.2466830466830467,5.21578947368421,3.5214007782101167,1.21,1.4124513618677044,1.9105263157894736,clue:16;collision_intent:311;dga_entry:363;state:300;target:1,76,276,0.12631578947368416,completed,,,
6,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,581,6,575,280,305,12,30,16,1880,4668,970,613,1267,1202,678,1868,678,0.2551960010523546,6.714285714285714,3.248695652173913,1.1669535283993115,1.1791304347826086,2.4214285714285713,clue:8;collision_intent:612;dga_entry:678;state:581;target:1,149,489,0.06607142857142856,completed,,,
7,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,62,50,12,66,0,0,0,0,178,449,84,64,114,130,48,78,48,0.24633431085043989,2.696969696969697,6.5,0.7741935483870968,4.0,0.7272727272727273,clue:4;collision_intent:63;dga_entry:48;state:62;target:1,16,46,0.015151515151515138,completed,,,
8,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,782,49,733,354,432,9,548,5,2866,7442,1155,1335,1531,2128,738,2768,738,0.25152439024390244,8.096045197740112,3.776261937244202,0.9437340153452686,1.0068212824010914,2.0847457627118646,clue:11;collision_intent:1334;dga_entry:738;state:782;target:1,302,863,0.3771186440677967,completed,,,
9,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,bernoulli,drop_0.25,19,361,4,0.25,90,90.25,90.25,comm_g19_r4_bernoulli_drop025_dga_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,533,28,505,302,235,12,35,8,1757,4383,885,569,1188,1118,639,1701,639,0.24838619141173168,5.817880794701987,3.368316831683168,1.198874296435272,1.2653465346534654,2.115894039735099,clue:16;collision_intent:568;dga_entry:639;state:533;target:1,137,471,0.14569536423841067,completed,,,
