trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,36,8,2,34,3,1,0,0,0,0.0,0,0,86,75,11,292,0,61,64.977856,1.0652107540983606,0.767779,1.165108,17.699977,58.233627000000006,0.9546496229508198,0.665863,0.928189,17.406228,61,6.744229000000001,0.110561131147541,0.106876,0.231351,0.293749,completed
0,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,38,13,1,38,1,0,1,1,0,0.0,0,0,96,79,17,281,0,55,38.918668,0.7076121454545454,0.622185,1.191251,1.291888,34.631854999999995,0.6296700909090908,0.578314,0.972508,1.02937,55,4.286813,0.07794205454545455,0.043871,0.236023,0.262518,completed
0,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,31,9,0,31,1,0,0,0,0,0.0,0,0,76,65,11,301,0,67,54.50058199999999,0.8134415223880596,0.862592,1.198099,1.354157,46.883205000000004,0.699749328358209,0.738565,0.99305,1.086487,67,7.617377000000001,0.11369219402985076,0.123835,0.238551,0.26767,completed
0,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,48,20,0,49,0,0,0,0,0,0.0,0,0,120,98,22,257,0,51,37.78099,0.7408037254901961,0.711397,1.222322,1.528071,33.314339000000004,0.6532223333333335,0.645767,0.986299,1.221715,51,4.466651000000001,0.08758139215686275,0.068798,0.233687,0.306356,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,27,8,0,28,0,0,0,0,0,0.0,0,0,69,58,11,309,0,83,56.73550799999998,0.6835603373493974,0.608905,1.162453,2.537153,50.682367000000006,0.6106309277108435,0.560235,0.928126,2.450021,83,6.053141000000002,0.07292940963855424,0.050142,0.194105,0.25199,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,40,15,0,41,0,0,0,0,0,0.0,0,0,104,85,19,274,0,69,43.576036000000016,0.6315367536231886,0.52654,1.164532,1.222194,39.165383000000006,0.5676142463768117,0.50411,0.930365,1.022202,69,4.410652999999999,0.0639225072463768,0.023295,0.224407,0.249879,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,50,14,1,46,5,0,1,1,0,0.0,0,0,126,106,20,253,0,47,36.533193,0.7773019787234042,0.761124,1.217683,2.153391,32.046164999999995,0.6818332978723404,0.661606,0.961916,2.13336,47,4.487028,0.09546868085106382,0.081437,0.238711,0.257719,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,32,13,0,33,0,0,0,0,0,0.0,0,0,80,66,14,298,0,79,47.07859300000001,0.5959315569620255,0.491886,1.140757,1.23461,42.809636999999995,0.5418941392405062,0.468399,0.930397,0.997147,79,4.268956,0.05403741772151899,0.023199,0.22316,0.271222,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,36,15,0,36,1,0,0,0,0,0.0,0,0,90,74,16,285,0,55,35.996126000000004,0.6544750181818183,0.504109,1.211763,2.16971,32.858555,0.5974282727272727,0.485359,0.97958,2.160783,55,3.137571,0.05704674545454545,0.018367,0.228663,0.272662,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,50,0.02,1,1,collaborative_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,38,15,0,39,0,1,0,0,0,0.0,0,0,95,78,17,280,0,61,41.53636200000001,0.680923967213115,0.579946,1.202899,1.627203,36.90114300000001,0.6049367704918035,0.540907,0.932893,1.378604,61,4.635218999999999,0.07598719672131146,0.035135,0.248599,0.428496,completed
