trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status,target_cells_per_robot,actual_cells_per_robot,failure_type,failure_message
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,30747.188318,02,102,24,78,5201.122933999998,50.991401313725476,62.5472685,102.551415,124.229003,5074.30238,49.74806254901961,60.8193625,100.732793,122.49137,16.9157676474605,77,126.82055400000004,1.6470201818181824,1.818622,0.8813450000000002,5200.241588999998,16.9157676474605,completed,,,,
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,30747.188318,03,83,23,60,3926.3930060000016,47.30593983132532,63.195058,66.020647,123.560577,3804.794889,45.840902277108434,61.54404,64.282982,105.595436,12.769925384368934,60,121.598117,2.0266352833333334,17.965141,0.7344379999999999,3925.6585680000017,12.769925384368934,completed,,,,
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,96005.653232,00,480,17,463,29074.082652,60.571005525000004,59.506982,83.358592,138.023834,28364.23356100001,59.09215325208335,58.04643900000001,81.539788,136.486609,30.283719419878093,463,709.8490910000004,1.5331513844492448,9.415225,0.592778,29073.489874000003,30.283719419878093,completed,,,,
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,96005.653232,01,402,17,385,26333.77254800001,65.50689688557217,63.784132,102.276794,140.813162,25720.590675000003,63.98156884328359,62.2624425,100.574059,135.822044,27.429397813026497,385,613.1818730000001,1.59268018961039,17.976152,0.6047159999999999,26333.16783200001,27.429397813026497,completed,,,,
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,96005.653232,02,300,17,283,18940.460362000005,63.13486787333335,63.750887,87.73846,136.238206,18487.489782000004,61.62496594000002,62.285573,85.815393,127.373648,19.72848444271289,283,452.97058,1.6006027561837455,17.462146,0.593548,18939.866814000008,19.72848444271289,completed,,,,
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,96005.653232,03,334,15,319,20926.505440000008,62.654207904191644,63.6494895,69.717388,147.601488,20413.082475999996,61.117013401197596,62.0923755,66.685089,145.9355,21.797159579166237,319,513.422964,1.6094763761755486,8.245741,0.51291,20925.992530000007,21.797159579166237,completed,,,,
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,7523.880641,00,40,6,34,2125.655768,53.1413942,61.5344315,66.717314,73.421214,2052.132667,51.303316675,59.4697605,64.550588,71.238839,28.25211974279112,34,73.52310100000003,2.1624441470588245,2.286286,0.327386,2125.328382,28.25211974279112,completed,,,,
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,7523.880641,01,13,6,7,511.91568099999995,39.378129307692305,60.812315,126.045177,126.045177,496.757369,38.212105307692305,58.705272,123.873364,123.873364,6.803878283374273,7,15.158312,2.165473142857143,2.212171,0.287572,511.628109,6.803878283374273,completed,,,,
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,7523.880641,02,37,6,31,1990.734077,53.8036237027027,62.59154,68.452922,85.924141,1923.8778829999999,51.99669954054054,60.553699,66.381884,83.75287,26.458873711417773,31,66.85619400000002,2.1566514193548394,2.553027,0.27183,1990.462247,26.458873711417773,completed,,,,
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,clue_search,19,361,4,0.002770083102493075,1,1,bayesian_dga_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,7523.880641,03,45,4,41,2824.9626899999994,62.776948666666655,63.075339,97.68052,175.266337,2735.104938999999,60.78010975555553,60.93971,95.651118,173.052183,37.546617560702465,41,89.85775099999996,2.1916524634146333,2.832792,0.18363000000000002,2824.7790599999994,37.546617560702465,completed,,,,
