trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,460,90,370,344,120,0,4,2,965,2892,0,489,476,965,0,785,0,0.0,2.8052325581395348,2.1216216216216215,0.0,0.0,0.0,clue:16;collision_intent:488;state:460;target:1,255,525,0.4084302325581395,completed,,,,3090,7385.0894240000025,29.832715,292.7453149999999,0.438384,5046,7092.344108999995,24.836773
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,70,53,17,74,0,0,0,0,148,439,0,74,74,148,0,42,0,0.0,2.0,2.4705882352941178,0.0,0.0,0.0,clue:4;collision_intent:73;state:70;target:1,30,62,0.17567567567567566,completed,,,,236,771.069179,8.228911,19.589088000000004,0.305333,294,751.4800909999999,4.788718
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,187,98,89,177,14,0,0,0,395,1180,0,200,195,395,0,199,0,0.0,2.231638418079096,2.235955056179775,0.0,0.0,0.0,clue:8;collision_intent:199;state:187;target:1,81,168,0.2076271186440677,completed,,,,702,2482.948574,27.182224,76.00566799999999,0.707364,1079,2406.9429060000007,22.513724
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,249,67,182,213,40,0,0,0,542,1623,0,277,265,542,0,407,0,0.0,2.544600938967136,2.2362637362637363,0.0,0.0,0.0,clue:16;collision_intent:276;state:249;target:1,76,163,0.08333333333333326,completed,,,,1451,5337.481545999999,58.070327,172.19076900000002,23.749647,2365,5165.290777000001,30.2056
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,38,24,14,41,1,0,0,0,85,251,0,43,42,85,0,37,0,0.0,2.073170731707317,2.642857142857143,0.0,0.0,0.0,clue:4;collision_intent:42;state:38;target:1,16,34,0.18902439024390238,completed,,,,154,632.8470789999999,10.767377,15.778169,0.285846,220,617.0689100000001,4.855596
5,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,337,122,215,279,62,0,0,0,717,2148,0,364,353,717,0,473,0,0.0,2.5698924731182795,2.2,0.0,0.0,0.0,clue:16;collision_intent:363;state:337;target:1,132,278,0.24641577060931907,completed,,,,1632,4550.087759,25.296759,161.51894499999997,0.349491,2632,4388.568813999998,25.207194
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,77,21,56,78,3,0,0,0,166,494,0,85,81,166,0,124,0,0.0,2.128205128205128,2.2142857142857144,0.0,0.0,0.0,clue:4;collision_intent:84;state:77;target:1,33,69,0.2628205128205128,completed,,,,303,1646.486088,25.137501,38.945533,0.371282,534,1607.5405550000005,24.823754
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,29,5,24,32,1,0,0,0,70,205,0,33,37,70,0,59,0,0.0,2.1875,2.4583333333333335,0.0,0.0,0.0,clue:8;collision_intent:32;state:29;target:1,16,35,0.40625,completed,,,,149,841.660757,29.292772,19.415029999999998,0.399856,261,822.245727,23.214117
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,190,34,156,183,11,0,0,0,410,1227,0,208,202,410,0,342,0,0.0,2.240437158469945,2.1923076923076925,0.0,0.0,0.0,clue:12;collision_intent:207;state:190;target:1,67,142,0.24453551912568305,completed,,,,1152,4716.510127,37.039558,136.24776700000004,1.78371,1948,4580.26236,32.690791
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.002770083102493075,1,,,bayesian_dmchba_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,0,12,16,0,0,0,0,29,81,0,13,16,29,0,29,0,0.0,1.8125,2.4166666666666665,0.0,0.0,0.0,clue:4;collision_intent:12;state:12;target:1,3,8,0.0,completed,,,,8,111.273263,25.841029,1.919066,0.321908,20,109.354197,19.550349
