# condition: distribution=1, clues_per_object=4, grid_size=19
# base_seed: None
episode,object_x,object_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
0,1,16,14,1,10,17,2,3,5,11
1,15,3,17,5,9,8,16,12,14,0
2,5,16,18,3,8,17,0,9,15,16
3,7,4,8,6,17,14,17,10,16,7
4,5,9,5,7,1,2,17,13,7,7
5,18,2,6,1,17,2,3,5,6,2
6,8,9,1,3,6,12,12,2,14,14
7,4,12,2,13,8,16,2,12,13,18
8,18,13,13,13,5,14,9,12,11,11
9,1,0,2,10,0,0,14,2,6,3
10,14,5,8,12,12,11,14,3,10,15
11,7,11,0,3,18,15,11,1,7,2
12,2,16,2,1,6,5,0,10,12,17
13,6,17,4,8,8,6,2,16,0,16
14,17,3,18,3,16,3,13,3,13,1
15,9,1,6,8,8,0,7,14,15,4
16,7,17,6,4,4,10,11,0,18,5
17,5,13,9,2,7,12,0,15,4,14
18,17,6,13,0,15,13,13,8,8,5
19,1,3,5,3,2,4,1,6,6,0
20,7,15,18,8,2,4,3,4,18,13
21,5,6,0,7,1,9,9,0,10,5
22,8,3,7,6,10,3,7,0,2,12
23,2,13,16,5,10,7,2,15,15,10
24,11,16,8,18,5,15,14,16,16,17
25,13,7,12,15,14,5,10,3,16,10
26,15,0,17,13,11,4,12,8,10,3
27,16,16,18,18,1,8,6,10,14,2
28,3,7,12,8,2,11,8,15,4,18
29,17,12,13,1,18,3,14,8,13,15
30,1,6,3,6,9,10,2,10,12,3
31,1,4,9,8,1,2,4,15,5,3
32,4,11,9,11,5,3,3,1,13,11
33,3,0,1,0,0,0,11,7,4,1
34,12,9,13,11,9,13,12,1,13,5
35,11,11,9,14,9,7,13,9,11,13
36,2,12,5,15,4,7,2,13,1,4
37,13,3,10,11,17,15,7,6,13,9
38,17,18,18,17,5,14,2,12,11,13
39,8,16,14,2,14,15,3,17,9,11
40,13,17,0,5,5,1,13,18,7,17
41,2,8,11,2,2,9,0,11,2,12
42,10,16,2,11,11,16,9,12,15,0
43,3,7,16,3,2,8,3,9,2,11
44,9,8,6,6,3,1,14,17,10,9
45,10,11,5,16,9,14,16,10,11,14
46,10,7,1,5,10,10,5,15,2,9
47,16,4,16,17,13,6,5,15,15,11
48,8,15,11,13,1,17,4,18,6,13
49,5,16,8,11,11,14,0,7,5,15
50,3,18,10,9,15,5,18,15,0,6
51,8,15,3,4,14,12,5,17,6,5
52,17,7,12,9,5,16,13,7,10,5
53,7,2,6,1,16,16,6,0,1,8
54,13,9,17,9,15,15,10,2,12,7
55,10,16,12,7,8,11,11,7,10,17
56,5,18,16,2,4,9,16,18,15,18
57,10,3,15,0,9,2,9,11,1,0
58,15,3,15,8,12,2,7,4,16,2
59,12,3,4,1,14,3,12,8,9,4
60,14,2,17,10,10,10,7,3,8,10
61,9,9,8,6,11,11,10,9,11,3
62,1,16,2,16,11,6,8,14,4,16
63,6,11,6,13,5,5,15,10,13,14
64,13,9,10,5,16,5,7,5,11,2
65,7,5,1,10,13,8,9,4,2,6
66,13,8,17,0,10,0,18,17,3,18
67,13,16,8,10,14,18,12,7,18,9
68,17,12,3,11,0,0,13,0,3,15
69,17,18,15,15,16,16,17,3,12,0
70,1,1,1,2,15,3,3,2,4,14
71,1,18,1,17,2,13,3,14,1,7
72,8,3,3,3,8,4,2,1,0,8
73,17,11,2,17,14,8,9,18,6,18
