trial_label,match_method,group_review_flag,group_review_reasons,capture_batch,source_path,source_file_sha256,source_line,source_column_count,structural_repair,source_row_sha256,robot_id,target_location,alg,top_k_rate,top_k_max_cells,drop_rate,config_sequence,trial_mode,commitment_horizon,logic_revision,scenario_sha256,steps,msgs_sent,msgs_received,1_rec,1_sent,2_rec,2_sent,3_rec,3_sent,4_rec,4_sent,5_rec,5_sent,bytes_sent,bytes_received,motor_time_ms,trial_time_ms,cpu_util_pct,mem_used_peak,mem_free_min,candidate_filter_calls,candidate_filter_time_us_total,candidate_filter_time_us_mean,candidate_filter_time_us_max,allocator_solve_time_us_total,allocator_calls,allocator_time_us_total,allocator_time_us_mean,allocator_time_us_max,allocator_time_pct,mean_step_time_ms,task_cell_replans,path_replans,collision_prevention_events
ACBBA 1,algorithm_target_exact,no,,initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-ACBBA.txt,197B552DF9C58186A9D2ED97C396E35EC428577DEF5C84A2906F247C4773F89A,2,45,none,775C3500C9168EAF34709D75F2ACA82B54A1F06844932D6A194DC9AA409D03EA,00,5/9,ACBBA,0.1,36,0.0,5,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,51,168,32,11,33,12,99,27,3,1,1,0,1067,4171,12353,30846,41,229344,224,3,1898878,632959.3,641989,1719395,3,3663687,1221229.0,1237888,11.87735,2804.182,0,0,0
ACBBA 1,algorithm_target_exact,no,,initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-ACBBA.txt,F5FF1938EA8DD151F2ED6D188A932A3D740F647A7B9448E49C6C3D01929EC354,2,45,none,F33DDDCDAE4A4587EA48BF94F96A2D3D1CA74E4639ABD50562323495A26521DF,01,5/9,ACBBA,0.1,36,0.0,5,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,61,167,33,10,35,11,95,39,3,1,1,0,1452,4056,11756,33215,50,209920,19648,5,3405958,681191.6,723926,2817018,5,6330515,1266103.0,1285124,19.05921,3321.5,0,0,0
ACBBA 1,algorithm_target_exact,no,,initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-ACBBA.txt,CFD27D1FD794E07BC1AE62123251DA0CB63850B6D2D419A4B706F3E0AA526D30,2,45,none,D6C15817EE9A3211139718E51E9A176F87A2F06A93BF0D621AF0C20F20C2E9D0,02,5/9,ACBBA,0.1,36,0.0,5,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,12,58,160,31,11,33,12,93,33,3,1,0,1,1319,3897,12732,30576,41,224176,5376,3,2328953,776317.7,779173,1640622,3,4011550,1337183.0,1355281,13.11993,2548.0,0,0,0
ACBBA 1,algorithm_target_exact,no,,initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-ACBBA.txt,5E43F710AA98AB1E83409F0820F3FBD35B7874A044CAF3A24114024A9D69EE85,2,45,none,4A468AB2AA3B988C999C63EFD80227624F255C912D4A38E3EBF45EEC59A634EB,03,5/9,ACBBA,0.1,36,0.0,5,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,62,161,32,11,34,12,91,38,3,1,1,0,1450,3888,12826,32020,44,228752,816,4,2927020,731755.0,736816,2188343,4,5181113,1295278.0,1302605,16.18086,2910.909,2,0,0
ACBBA 2,operator_validated_config_sequence_exact,no,,initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-ACBBA.txt,197B552DF9C58186A9D2ED97C396E35EC428577DEF5C84A2906F247C4773F89A,4,45,none,425DF3A46EAF7E85F317D6911608D10573C6B635185C2053CC63E4E5911693EB,00,7/2,ACBBA,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,13,65,224,46,12,50,13,122,37,6,2,0,1,1461,5429,16082,41168,47,221872,7696,5,1909250,381850.0,398832,2867431,5,4887933,977586.6,1006284,11.87314,3166.769,0,0,0
ACBBA 2,operator_validated_config_sequence_exact,no,,initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-ACBBA.txt,F5FF1938EA8DD151F2ED6D188A932A3D740F647A7B9448E49C6C3D01929EC354,4,45,none,6230DB079D28B99D185131C4A67CDE368F15D96707F5976C8A4E411ADDB2DBC9,01,7/2,ACBBA,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,79,219,45,14,47,17,120,46,6,2,1,0,1859,5290,17525,43686,44,209104,20464,6,2382540,397090.0,408595,3475261,6,6017218,1002870.0,1022364,13.77379,3120.428,0,3,1
ACBBA 2,operator_validated_config_sequence_exact,no,,initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-ACBBA.txt,CFD27D1FD794E07BC1AE62123251DA0CB63850B6D2D419A4B706F3E0AA526D30,4,45,none,BD06105495316B6966A2445098A35E37D428D7EC8540CE264E52C86493F6AFB5,02,7/2,ACBBA,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,17,85,214,42,17,46,18,119,48,6,2,1,0,1952,5212,19199,43514,39,211920,17648,4,1643492,410873.0,413465,2329304,4,4095860,1023965.0,1034887,9.412741,2559.647,0,0,0
ACBBA 2,operator_validated_config_sequence_exact,no,,initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-ACBBA.txt,5E43F710AA98AB1E83409F0820F3FBD35B7874A044CAF3A24114024A9D69EE85,4,45,none,AA87757BB22458A34963DAE56B6EC25F68D09BF6702697276F4D07D63EADDD14,03,7/2,ACBBA,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,17,80,210,41,17,46,18,116,43,6,2,1,0,1743,5129,18320,41243,37,222736,6832,2,799826,399913.0,404976,1151870,2,1965472,982736.0,988672,4.765589,2426.059,1,0,0
ACBBA 3,algorithm_target_exact,no,,initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-ACBBA.txt,197B552DF9C58186A9D2ED97C396E35EC428577DEF5C84A2906F247C4773F89A,5,45,none,37DE5B658716E67AB7D710FD21E758607EE9BE93826347F66AB3DB4CF5583140,00,3/11,ACBBA,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,13,76,192,27,13,30,14,131,48,3,1,1,0,1826,5509,12913,34702,46,228704,864,4,3522010,880502.5,893460,2243028,4,5845484,1461371.0,1520839,16.8448,2669.385,0,0,0
ACBBA 3,algorithm_target_exact,no,,initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-ACBBA.txt,F5FF1938EA8DD151F2ED6D188A932A3D740F647A7B9448E49C6C3D01929EC354,5,45,none,A359758F8C86E0D9B75BF8394C21CCDAD39F675692BADE7751B8ED89E9F60422,01,3/11,ACBBA,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,62,200,31,9,33,10,133,41,3,1,0,1,1599,5600,11215,34266,54,219888,9600,5,4393527,878705.4,883540,2877217,5,7368741,1473748.0,1496182,21.50453,3426.6,2,0,0
