trial_label,algorithm,trial_number,variant,target_location,source_episode,match_status,review_flag,review_reasons,match_method,robot_count,robot_ids,source_batches,source_config_sequences,top_k_rate,top_k_max_cells,drop_rate,trial_mode,commitment_horizon,logic_revision,scenario_sha256,source_structural_repair_rows,total_steps,avg_steps_per_robot,max_steps_any_robot,total_msgs_sent,total_msgs_received,message_receive_to_send_pct,total_bytes_sent,total_bytes_received,avg_trial_time_ms,total_trial_time_ms,min_trial_time_ms,max_trial_time_ms,trial_time_range_ms,trial_time_relative_range_pct,avg_motor_time_ms,total_motor_time_ms,avg_compute_time_ms,total_compute_time_ms,total_candidate_filter_calls,total_filter_time_us,avg_filter_time_per_call_us,max_filter_time_us,total_allocator_calls,total_allocator_solve_time_us,total_allocator_time_us,avg_allocator_time_per_call_us,max_allocator_time_us,avg_robot_allocator_time_pct,combined_allocator_time_pct_of_trial,weighted_mean_step_time_ms,avg_cpu_util_pct,max_cpu_util_pct,max_mem_used_peak,min_mem_free_min,total_task_cell_replans,total_path_replans,total_collision_prevention_events,total_topic_1_sent,total_topic_1_received,total_topic_2_sent,total_topic_2_received,total_topic_3_sent,total_topic_3_received,total_topic_4_sent,total_topic_4_received,total_topic_5_sent,total_topic_5_received
ACBBA 1,ACBBA,1,,5/9,4,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,5,0.1,36,0.0,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,44,11,12,232,656,282.7586206896552,5288,16012,31664.25,126657.0,30576.0,33215.0,2639.0,8.33432025075598,12416.75,49667.0,19247.5,76990.0,15,10560809.0,704053.9333333333,779173.0,15,8365378.0,19186865.0,1279124.3333333333,1355281.0,15.0593375,15.148681083556376,2878.568181818182,44.0,50.0,229344,224,2,0,0,43,128,47,135,137,378,4,12,1,3
ACBBA 2,ACBBA,2,,7/2,53,matched,no,,operator_validated_config_sequence_exact,4,00;01;02;03,initial_recovery,1,0.1,36,0.0,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,61,15.25,17,309,867,280.58252427184465,7015,21060,42402.75,169611.0,41168.0,43686.0,2518.0,5.938294096491383,17781.5,71126.0,24621.25,98485.0,17,6735108.0,396182.82352941175,413465.0,17,9823866.0,16966483.0,998028.4117647059,1034887.0,9.956315,10.003173732835723,2780.5081967213114,41.75,47.0,222736,6832,1,3,1,60,174,66,189,174,477,8,24,1,3
ACBBA 3,ACBBA,3,,3/11,232,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.1,36,0.0,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,42,10.5,13,284,786,276.7605633802817,7378,21966,35373.75,141495.0,34266.0,37511.0,3245.0,9.173469027174106,11716.0,46864.0,23657.75,94631.0,20,18231381.0,911569.05,977206.0,20,11455008.0,30085366.0,1504268.3,1610155.0,21.1944725,21.262494081062936,3368.9285714285716,52.75,57.0,228704,864,4,1,1,41,120,46,129,192,522,4,12,1,3
ACBBA 4,ACBBA,4,,5/4,394,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.1,36,0.0,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,292,73,75,695,2054,295.53956834532374,8727,29585,138588.25,554353.0,137897.0,139243.0,1346.0,0.9712223078074801,77368.5,309474.0,61219.75,244879.0,9,2423421.0,269269.0,279302.0,9,5154838.0,7725845.0,858427.2222222222,882104.0,1.394700475,1.3936688355614564,1898.4691780821918,23.5,26.0,228624,944,2,3,1,291,867,297,882,98,278,8,24,1,3
ACBBA 5,ACBBA,5,,13/16,473,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.1,36,0.0,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,105,26.25,30,393,1164,296.1832061068702,8539,27456,66228.0,264912.0,65942.0,66826.0,884.0,1.3347828712931087,28513.75,114055.0,37714.25,150857.0,19,20775085.0,1093425.5263157894,1159368.0,19,10939535.0,32084766.0,1688671.894736842,1744254.0,12.104149,12.111480793622032,2522.9714285714285,39.75,46.0,228592,976,1,0,0,104,312,108,321,176,516,4,12,1,3
CBAA 1,CBAA,1,,5/9,4,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.03,11,0.0,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,50,12.5,14,193,571,295.85492227979273,3351,11038,28690.0,114760.0,28579.0,28796.0,217.0,0.7563611014290693,13840.75,55363.0,14849.25,59397.0,12,3690379.0,307531.5833333333,319876.0,12,303118.0,6459921.0,538326.75,554672.0,5.62661725,5.629070233530847,2295.2,33.5,37.0,229104,464,3,3,1,49,147,55,162,84,247,4,12,1,3
CBAA 2,CBAA,2,,7/2,53,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.03,11,0.0,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,46,11.5,13,185,555,300.0,3085,10365,28996.5,115986.0,28736.0,29187.0,451.0,1.5553601296708224,12878.5,51514.0,16118.0,64472.0,14,3420470.0,244319.2857142857,249457.0,14,352575.0,6645912.0,474708.0,479619.0,5.72987,5.729926025554808,2521.4347826086955,37.5,44.0,226736,2832,4,0,0,46,138,49,147,81,243,8,24,1,3
CBAA 3,CBAA,3,,3/11,232,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.03,11,0.0,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,37,9.25,11,157,471,300.0,2800,9342,24628.75,98515.0,24511.0,24773.0,262.0,1.063797391260214,10827.5,43310.0,13801.25,55205.0,11,3871912.0,351992.0,368685.0,11,277089.0,6397546.0,581595.0909090909,594202.0,6.49157,6.493981627163375,2662.5675675675675,35.5,41.0,226448,3120,2,5,2,36,108,45,135,71,213,4,12,1,3
CBAA 4,CBAA,4,,5/4,394,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.03,11,0.0,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,306,76.5,78,681,2030,298.09104258443466,7442,26046,142144.25,568577.0,141403.0,143299.0,1896.0,1.33385627628272,81636.5,326546.0,60507.75,242031.0,8,1493062.0,186632.75,191157.0,8,195415.0,3328630.0,416078.75,424397.0,0.58657775,0.5854317005436379,1858.0947712418301,22.25,24.0,229216,352,2,1,1,306,917,310,927,56,159,8,24,1,3
CBAA 5,CBAA,5,,13/16,473,matched,no,,algorithm_target_exact,4,00;01;02;03,initial_recovery,1,0.03,11,0.0,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,0,93,23.25,24,264,790,299.24242424242425,3964,13417,49327.0,197308.0,48951.0,49558.0,607.0,1.2305633831370244,24857.75,99431.0,24469.25,97877.0,15,5702584.0,380172.26666666666,394893.0,15,373419.0,9145719.0,609714.6,630520.0,4.634769,4.6352499645224725,2121.5913978494623,30.0,32.0,229216,352,4,0,0,92,276,96,287,71,212,4,12,1,3
