exclusion_category,exclusion_reason,related_trial_label,capture_batch,source_path,source_file_sha256,source_line,source_column_count,structural_repair,source_row_sha256,robot_id,target_location,alg,top_k_rate,top_k_max_cells,drop_rate,config_sequence,trial_mode,commitment_horizon,logic_revision,scenario_sha256,steps,msgs_sent,msgs_received,1_rec,1_sent,2_rec,2_sent,3_rec,3_sent,4_rec,4_sent,5_rec,5_sent,bytes_sent,bytes_received,motor_time_ms,trial_time_ms,cpu_util_pct,mem_used_peak,mem_free_min,candidate_filter_calls,candidate_filter_time_us_total,candidate_filter_time_us_mean,candidate_filter_time_us_max,allocator_solve_time_us_total,allocator_calls,allocator_time_us_total,allocator_time_us_mean,allocator_time_us_max,allocator_time_pct,mean_step_time_ms,task_cell_replans,path_replans,collision_prevention_events
nonstudy_target,target is not one of the five declared hardware-study targets,,initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,4,46,merge_unquoted_target_location,2C9F424D00617EA864EBC9AC5CA3C4A3CC317BE53C05D3669CA23AD40058B1AF,03,"(-1, -1)",CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,85,242,44,14,51,18,133,48,14,5,0,0,1874,5546,17046,49535,51,225472,4096,8,2775323,346915.4,363638,209106,8,4657835,582229.4,598101,9.403119,3538.214,2,3,2
nonstudy_target,target is not one of the five declared hardware-study targets,,initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-CBAA.txt,D561DB79918780B26F3FE24043CD23C0BE38C0757D38768779A35DF412A3230C,7,45,none,B3264F9F3FF1F0967A051D074A831EB3709C952AEF800A56B263CF59B6CD567D,03,1/15,CBAA,0.03,11,0.0,1,clue_search,1,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,4,17,120,29,3,32,4,53,7,6,2,0,1,269,2255,18416,24989,17,213648,15840,1,302617,302617.0,302617,23746,1,537654,537654.0,537654,2.151563,6247.25,0,0,0
nonstudy_target,target is not one of the five declared hardware-study targets,,completed_trials,Robots/robot_03/captures/2026-08-02_completed_trials/raw_onboard/metrics-log-HIPC.txt,74F77B9D538A1DB25DED045B40A5C9FF8A61A384C651132F4CA14EBA37919F3F,2,46,merge_unquoted_target_location,9293DD3C7AB3D33DDAAFE419BD7190C323CF6CCE6D99C4E4A0300F4EF129899F,03,"(-1, -1)",HIPC,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,16,40,110,37,16,41,17,26,5,6,2,0,0,537,1967,17586,31165,16,222048,7520,1,341312,341312.0,341312,1153833,1,1499538,1499538.0,1499538,4.811609,1947.813,0,0,0
nonstudy_target,target is not one of the five declared hardware-study targets,,completed_trials,Robots/robot_03/captures/2026-08-02_completed_trials/raw_onboard/metrics-log-HIPC.txt,74F77B9D538A1DB25DED045B40A5C9FF8A61A384C651132F4CA14EBA37919F3F,3,45,none,82B09E31C6756833D242B994F0065B5379E45CA94D54E373D24374BDD5F17664,03,11/12,HIPC,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,21,4,0,10,3,11,0,0,0,0,1,0,202,48,10574,15122,6,152320,77248,0,0,0.0,0,0,0,0,0.0,0,0.0,1512.2,0,0,0
nonstudy_target,target is not one of the five declared hardware-study targets,,completed_trials,Robots/robot_03/captures/2026-08-02_completed_trials/raw_onboard/metrics-log-PI.txt,1668FC85643D412921B42FD7285558DD7FCA43DFFEF25DAA711BD685761E7359,3,46,merge_unquoted_target_location,FB50DB33950B49F8BE2E31D7C35FCEE0AC8A2436B6EABE704DECE8136CAF6025,03,"(-1, -1)",PI,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,2,10,31,6,2,6,3,13,3,6,2,0,0,157,589,2465,7475,35,200608,28960,1,1367604,1367604.0,1367604,446295,1,2141824,2141824.0,2141824,28.65316,3737.5,1,0,0
user_confirmed_failed_trial,ACBBA 2A was confirmed failed by the operator on 2026-08-02,ACBBA 2A,initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-ACBBA.txt,197B552DF9C58186A9D2ED97C396E35EC428577DEF5C84A2906F247C4773F89A,3,45,none,0DA5927B10397246AD9AB84E02AC0009C7291A9083A397A1C95C89664BEE48A4,00,7/2,ACBBA,0.1,36,0.0,2,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,78,254,46,11,51,16,150,49,6,2,1,0,1858,6381,12142,44078,51,215616,13952,6,2304200,384033.3,390928,3474715,6,5933889,988981.5,1017121,13.46225,4007.091,0,3,1
user_confirmed_failed_trial,ACBBA 2A was confirmed failed by the operator on 2026-08-02,ACBBA 2A,initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-ACBBA.txt,F5FF1938EA8DD151F2ED6D188A932A3D740F647A7B9448E49C6C3D01929EC354,3,45,none,2922D736735A31B2ADFCC9B78B2DE9684BB673737915A80C533544BC93198E3D,01,7/2,ACBBA,0.1,36,0.0,2,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,13,83,249,44,13,53,14,145,54,6,2,1,0,2063,6166,15373,43732,51,222736,6832,7,2793923,399131.8,409902,4076406,7,7045031,1006433.0,1025399,16.10956,3364.0,2,0,0
user_confirmed_failed_trial,ACBBA 2A was confirmed failed by the operator on 2026-08-02,ACBBA 2A,initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-ACBBA.txt,CFD27D1FD794E07BC1AE62123251DA0CB63850B6D2D419A4B706F3E0AA526D30,3,45,none,1DEFF5A6C7AD95FB9036B28858F4EAEA34DCA2EB7FDDF0B2A2E518182882EBF3,02,7/2,ACBBA,0.1,36,0.0,2,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,17,87,237,41,16,47,19,143,49,6,2,0,1,1927,6032,18121,43293,40,218272,11296,3,1209576,403192.0,409371,1730252,3,3022538,1007513.0,1018986,6.981586,2546.647,0,2,1
user_confirmed_failed_trial,ACBBA 2A was confirmed failed by the operator on 2026-08-02,ACBBA 2A,initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-ACBBA.txt,5E43F710AA98AB1E83409F0820F3FBD35B7874A044CAF3A24114024A9D69EE85,3,45,none,A14BEDC9D558D21A87ECDF57CD1D1E901667191F286299FAD22D05DD684E5663,03,7/2,ACBBA,0.1,36,0.0,2,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,17,84,248,40,17,49,18,152,47,6,2,1,0,1883,6344,19396,43503,35,222032,7536,2,804482,402241.0,408729,1149376,2,1967966,983983.0,990878,4.523748,2559.0,1,0,0
incomplete_duplicate_remnant,excluded from minimum-range four-robot duration cluster; no matching robot 00 row,DMCHBA 3,initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-DMCHBA.txt,9DCCC8938D2E6D912BAA03F660D42EA3D69CAAF48997067CDDA4E9130CC4F089,4,45,none,3C3618084ABA8493C3762502EB81657639D294DE0E121041E98880E6480107B0,01,3/11,DMCHBA,0.05,18,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,12,25,47,21,11,24,12,0,0,2,1,0,1,213,555,13697,21759,13,210784,18784,1,308026,308026.0,308026,677799,3,989831,329943.7,987107,4.549065,1813.25,0,0,0
incomplete_duplicate_remnant,excluded from minimum-range four-robot duration cluster; no matching robot 00 row,DMCHBA 3,initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-DMCHBA.txt,733512893E1E73CFF29CC4D408B906C9E72720BBC1335BD6C7D2052BD83A1FB7,4,45,none,0A78CEC62ED13307621BA0C536CD50DE04E78ED92D31F8EE73385B7B61DE79DA,02,3/11,DMCHBA,0.05,18,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,22,51,23,10,25,11,0,0,2,1,1,0,209,574,12687,22373,19,223152,6416,3,1005211,335070.3,337690,1369697,5,2385462,477092.4,1377111,10.66224,2237.3,0,0,0
incomplete_duplicate_remnant,excluded from minimum-range four-robot duration cluster; no matching robot 00 row,DMCHBA 3,initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-DMCHBA.txt,8DBB16BB92732553BEC25154C32E9648B118F220785AAD2E1538039153D89166,4,45,none,3836ACF38A840D72AB8A9EA59EE46CB4563FC43D0744391EA77EF8DB07B00D01,03,3/11,DMCHBA,0.05,18,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,11,24,50,22,11,25,12,0,0,2,1,1,0,228,565,13456,23345,17,185104,44464,3,1012778,337592.7,340024,1331105,4,2353042,588260.5,1281909,10.07943,2122.273,0,0,0
user_confirmed_failed_trial,HIPC 2A was confirmed failed by the operator on 2026-08-02,HIPC 2A,initial_recovery,Robots/robot_00/metrics/onboard/metrics-log-HIPC.txt,EEF42B6CBEC55D5A3DB7EDC75F75A59D56010D2F74AA4F56B49C55D84002CA93,3,45,none,0F4D70CDF4213D9ADE3B4393318F88D41F28E81BB56844444A3621347A4D0152,00,7/2,HIPC,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,45,138,47,13,50,13,35,16,6,2,0,1,765,2561,14163,33427,30,221472,8096,5,1699536,339907.2,355141,6134330,5,7906844,1581369.0,1615022,23.65406,2387.643,0,0,0
user_confirmed_failed_trial,HIPC 2A was confirmed failed by the operator on 2026-08-02,HIPC 2A,initial_recovery,Robots/robot_01/metrics/onboard/metrics-log-HIPC.txt,2FE06A7BAF50CB83A2B7E8BB947C4CF80F86D8D2FB8FC5F0CCAB74D0F802EEFD,3,45,none,0178707523F5601AD40E7AA6F3153E3FB58F431A746230C6CD3D8C3112D8AF3D,01,7/2,HIPC,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,45,143,47,14,49,15,40,14,6,2,1,0,813,2660,15769,34805,30,214384,15184,5,1707994,341598.8,356367,5738898,5,7526880,1505376.0,1709557,21.62586,2486.072,0,0,0
user_confirmed_failed_trial,HIPC 2A was confirmed failed by the operator on 2026-08-02,HIPC 2A,initial_recovery,Robots/robot_02/metrics/onboard/metrics-log-HIPC.txt,3623414F32445584F8EE3154D128718DCB89EE1543B1C159CECA91AD819F95CD,3,45,none,6213FA5518C2B63C7C7441C7250FE97697E518C0904518914A6FA745621E46BC,02,7/2,HIPC,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,16,51,133,45,16,46,17,35,16,6,2,1,0,905,2417,18488,33660,21,216400,13168,4,1394645,348661.3,364068,3035615,4,4490596,1122649.0,1522016,13.34105,2103.75,1,0,0
user_confirmed_failed_trial,HIPC 2A was confirmed failed by the operator on 2026-08-02,HIPC 2A,initial_recovery,Robots/robot_03/metrics/onboard/metrics-log-HIPC.txt,06C5C3ECE0B691F24E95A2F26C9EDDA0F4CF6709FF583567787BCE2B0638E794,3,45,none,9C3FD7025B3340EAC8374741D721CB7E9B11CD92CC42793DB9263DC41E746D0A,03,7/2,HIPC,0.1,36,0.0,1,clue_search,3,dcta_parity_v1,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,18,47,137,43,18,44,19,43,8,6,2,1,0,704,2626,20550,33692,16,213312,16256,2,664447,332223.5,339567,1284649,2,1977610,988805.0,1501025,5.869672,1871.778,0,0,0
