trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status,target_cells_per_robot,actual_cells_per_robot,failure_type,failure_message
0,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1203.432505,00,69,23,46,116.30675700000002,1.6856051739130438,2.127848,4.385779,4.450419,9.664584969806846,46,50.264655,1.0927098913043478,1.58403,0.8735169999999999,115.43324000000001,9.664584969806846,completed,,,,
0,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1203.432505,01,69,22,47,112.744782,1.6339823478260869,2.113128,3.400128,4.78841,9.36860036035008,47,47.88947600000001,1.018925021276596,1.744321,0.914385,111.830397,9.36860036035008,completed,,,,
0,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1203.432505,02,62,23,39,96.291033,1.553081177419355,2.137,2.694259,4.582774,8.001365477493065,39,40.62639600000001,1.0417024615384618,1.634847,1.028499,95.26253400000002,8.001365477493065,completed,,,,
0,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1203.432505,03,58,20,38,85.74222499999999,1.4783142241379308,2.0930315,2.247242,5.043327,7.12480547465352,38,37.622628000000006,0.990069157894737,1.754497,0.911344,84.83088099999999,7.12480547465352,completed,,,,
1,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,167.465172,00,20,14,6,27.92974,1.396487,0.0372325,4.607639,4.637719,16.677939458360928,6,9.753304,1.6255506666666666,1.722657,0.556808,27.372932000000002,16.677939458360928,completed,,,,
1,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,167.465172,01,16,13,3,13.206555000000002,0.8254096875000001,0.040689,4.871676,4.871676,7.886150202025291,3,4.999166,1.6663886666666665,1.776514,0.538188,12.668367,7.886150202025291,completed,,,,
1,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,167.465172,02,17,13,4,12.016479,0.7068517058823529,0.040096,4.492884,4.492884,7.1755093053020005,3,4.920989,1.6403296666666665,1.719009,0.6896420000000001,11.326837,7.1755093053020005,completed,,,,
1,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,167.465172,03,13,11,2,8.232509,0.6332699230769231,0.037856,5.039839,5.039839,4.915952912286741,2,3.372512,1.686256,1.81053,0.432874,7.799635,4.915952912286741,completed,,,,
2,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,375.659241,00,31,25,6,19.181387,0.6187544193548388,0.036417,2.634706,5.215874,5.106060202043586,6,10.966542,1.827757,2.136072,0.920691,18.260696,5.106060202043586,completed,,,,
2,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,375.659241,01,34,24,10,35.555164,1.0457401176470587,0.0414085,4.937981,5.560168,9.464738283917258,10,19.217033999999998,1.9217033999999997,2.229802,1.148243,34.406921000000004,9.464738283917258,completed,,,,
2,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,375.659241,02,35,24,11,42.166329,1.204752257142857,0.039584,5.087776,5.166306,11.224621784294133,10,19.475441,1.9475441,2.148393,0.9755369999999999,41.190792,11.224621784294133,completed,,,,
2,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,375.659241,03,36,23,13,49.289574,1.3691548333333334,0.037392999999999996,5.114433,5.281955,13.120820312789803,13,25.030519999999996,1.925424615384615,2.188809,0.8576830000000001,48.43189100000001,13.120820312789803,completed,,,,
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,614.652445,00,29,17,12,38.090225,1.3134560344827586,0.040257,4.780411,4.96995,6.197034651021359,12,20.168093,1.6806744166666665,1.970597,0.727757,37.362468,6.197034651021359,completed,,,,
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,614.652445,01,34,17,17,59.39357100000001,1.7468697352941178,1.305657,4.863964,4.877148,9.662952044386648,17,29.256266,1.7209568235294117,1.951269,0.753359,58.640212000000005,9.662952044386648,completed,,,,
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,614.652445,02,35,17,18,75.835768,2.1667362285714287,2.934199,4.909629,5.52212,12.337991757276749,18,31.751416000000003,1.7639675555555556,2.096456,0.713101,75.122667,12.337991757276749,completed,,,,
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,614.652445,03,34,15,19,56.207875,1.653172794117647,2.5207835,4.899036,4.938781,9.144659792250563,19,31.223244,1.6433286315789475,1.996453,0.695018,55.512857,9.144659792250563,completed,,,,
4,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.05,18,18,hipc_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,72.671069,00,7,6,1,5.745806,0.8208294285714286,0.040161,5.358022,5.358022,7.906593475320969,1,2.158793,2.158793,2.158793,0.387784,5.358022,7.906593475320969,completed,,,,
