trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,top_k_rate,top_k_max_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,70,53,17,74,0,0,0,0,155,464,0,,74,81,148,7,49,7,0.0,2.0945945945945947,2.8823529411764706,0.1,0.4117647058823529,0.0945945945945946,clue:4;collision_intent:73;hipc_entry:7;state:70;target:1,30,69,0.17567567567567566,234,317.293633,2.227182,47.20038000000001,0.386046,182,270.093253,2.000028
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,183,98,85,171,16,0,0,0,430,1288,0,,196,234,387,43,234,43,0.0,2.5146198830409356,2.7529411764705882,0.23497267759562843,0.5058823529411764,0.25146198830409355,clue:8;collision_intent:195;hipc_clear_bundle:9;hipc_entry:34;state:183;target:1,71,172,0.182748538011696,665,893.5609809999997,7.864133,190.94668700000005,0.54577,568,702.614294,7.463333
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,309,67,242,258,55,1,0,0,800,2398,0,,351,449,676,124,665,124,0.0,3.10077519379845,2.7479338842975207,0.40129449838187703,0.512396694214876,0.4806201550387597,clue:16;collision_intent:350;hipc_clear_bundle:39;hipc_entry:85;state:309;target:1,101,251,0.15697674418604657,1922,2866.223626000001,17.760604,794.4108030000004,0.993484,1856,2071.8128229999998,17.146893
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,40,24,16,43,1,0,0,0,99,295,0,,46,53,90,9,51,9,0.0,2.302325581395349,3.1875,0.225,0.5625,0.20930232558139536,clue:4;collision_intent:45;hipc_clear_bundle:2;hipc_entry:7;state:40;target:1,16,40,0.16860465116279078,148,235.42424599999998,2.051646,33.558262000000006,0.377853,126,201.865984,1.690114
5,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,319,122,197,277,46,1,0,0,784,2348,0,,350,434,685,99,540,99,0.0,2.8303249097472922,2.7411167512690353,0.3103448275862069,0.5025380710659898,0.3574007220216607,clue:16;collision_intent:349;hipc_clear_bundle:30;hipc_entry:69;state:319;target:1,134,321,0.197653429602888,1707,2479.210504999999,25.611404,614.4346629999999,16.619511,1587,1864.7758419999996,25.287732
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,62,21,41,64,2,0,0,0,147,438,0,,66,81,132,15,105,15,0.0,2.296875,2.5609756097560976,0.24193548387096775,0.36585365853658536,0.234375,clue:4;collision_intent:65;hipc_entry:15;state:62;target:1,35,82,0.3828125,309,539.997298,2.127714,79.555786,0.41216,290,460.441512,1.815466
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,27,5,22,30,1,1,0,0,77,226,0,,31,46,66,11,66,11,0.0,2.566666666666667,3.0,0.4074074074074074,0.5,0.36666666666666664,clue:8;collision_intent:30;hipc_entry:11;state:27;target:1,16,43,0.41666666666666674,156,286.127616,2.087135,39.05904499999999,0.41248,150,247.068571,1.746949
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,169,34,135,164,9,0,0,0,412,1232,0,,183,229,364,48,344,48,0.0,2.5121951219512195,2.5481481481481483,0.28402366863905326,0.35555555555555557,0.2926829268292683,clue:12;collision_intent:182;hipc_clear_bundle:10;hipc_entry:38;state:169;target:1,97,230,0.41158536585365857,1266,2174.642812,18.054814,427.0512870000002,16.604521,1234,1747.5915249999998,17.648511
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,0.002770083102493075,1,4,,,bayesian_hipc_fixed_k1_k1,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,7,0,7,11,0,0,0,0,32,92,0,,11,21,22,10,32,10,0.0,2.909090909090909,4.571428571428571,1.4285714285714286,1.4285714285714286,0.9090909090909091,clue:4;collision_intent:10;hipc_clear_bundle:4;hipc_entry:6;state:7;target:1,3,10,0.15909090909090917,18,36.113903,2.16682,5.196298,0.426336,18,30.917605,1.81985
