trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
25,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,55,55,0,59,0,0,0,0,111,330,0,56,55,111,0,0,0,0.0,1.88135593220339,0.0,0.0,0.0,0.0,collision_intent:55;state:55;target:1,14,29,0.012711864406779627,completed
61,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,191,191,0,195,0,0,0,0,383,1146,0,192,191,383,0,0,0,0.0,1.964102564102564,0.0,0.0,0.0,0.0,collision_intent:191;state:191;target:1,48,97,0.0038461538461538325,completed
97,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,73,73,0,77,0,0,0,0,147,438,0,74,73,147,0,0,0,0.0,1.9090909090909092,0.0,0.0,0.0,0.0,collision_intent:73;state:73;target:1,19,39,0.009740259740259827,completed
133,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,317,38,279,246,75,15,0,0,1827,5475,0,318,1509,651,1176,1751,1176,0.0,7.426829268292683,6.275985663082437,3.7097791798107256,4.21505376344086,4.780487804878049,cbaa_entry:1176;clue:16;collision_intent:317;state:317;target:1,80,459,0.05894308943089421,completed
169,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,168,0,168,139,33,6,0,0,1107,3318,0,172,935,352,755,1107,755,0.0,7.9640287769784175,6.589285714285714,4.494047619047619,4.494047619047619,5.431654676258993,cbaa_entry:755;clue:12;collision_intent:171;state:168;target:1,43,288,0.059352517985611586,completed
205,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,7,0,7,11,0,0,0,0,39,114,0,9,30,20,19,39,19,0.0,3.5454545454545454,5.571428571428571,2.7142857142857144,2.7142857142857144,1.7272727272727273,cbaa_entry:19;clue:4;collision_intent:8;state:7;target:1,2,12,0.06818181818181812,completed
241,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,268,3,265,225,47,13,4,4,1776,5325,0,273,1503,549,1227,1769,1227,0.0,7.8933333333333335,6.675471698113207,4.5783582089552235,4.630188679245283,5.453333333333333,cbaa_entry:1227;clue:8;collision_intent:272;state:268;target:1,67,454,0.08777777777777773,completed
277,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,192,42,150,171,25,9,7,6,1090,3265,0,200,890,408,682,1006,682,0.0,6.374269005847953,6.706666666666667,3.5520833333333335,4.546666666666667,3.9883040935672516,cbaa_entry:682;clue:16;collision_intent:199;state:192;target:1,49,277,0.04824561403508776,completed
313,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,125,68,57,123,6,5,2,2,532,1592,0,129,403,266,266,396,266,0.0,4.32520325203252,6.947368421052632,2.128,4.666666666666667,2.16260162601626,cbaa_entry:266;clue:12;collision_intent:128;state:125;target:1,32,137,0.014227642276422703,completed
349,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,155,108,47,154,5,4,0,0,536,1606,0,156,380,319,217,320,217,0.0,3.4805194805194803,6.808510638297872,1.4,4.617021276595745,1.4090909090909092,cbaa_entry:217;clue:8;collision_intent:155;state:155;target:1,39,140,0.01948051948051943,completed
385,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,278,114,164,255,27,6,0,0,1351,4050,0,280,1071,570,781,1121,781,0.0,5.298039215686274,6.835365853658536,2.8093525179856114,4.762195121951219,3.062745098039216,cbaa_entry:781;clue:12;collision_intent:279;state:278;target:1,70,341,0.026470588235294024,completed
421,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,298,6,292,262,40,14,6,4,1982,5944,0,305,1677,611,1371,1970,1371,0.0,7.564885496183206,6.7465753424657535,4.600671140939597,4.695205479452055,5.232824427480916,cbaa_entry:1371;clue:8;collision_intent:304;state:298;target:1,75,501,0.07442748091603058,completed
457,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,110,3,107,78,36,7,5,5,680,2037,0,116,564,234,446,673,446,0.0,8.717948717948717,6.289719626168225,4.054545454545455,4.168224299065421,5.717948717948718,cbaa_entry:446;clue:8;collision_intent:115;state:110;target:1,28,173,0.21153846153846145,completed
493,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,316,3,313,283,37,11,5,4,2164,6490,0,322,1842,654,1510,2157,1510,0.0,7.646643109540636,6.891373801916933,4.7784810126582276,4.824281150159744,5.3356890459363955,cbaa_entry:1510;clue:16;collision_intent:321;state:316;target:1,81,548,0.03798586572438167,completed
