condition_id,mission,algorithm,top_k_level,top_k_rate,top_k_max_cells,trials,completed_trials,failed_trials,mean_primary_steps,mean_total_team_steps,mean_allocator_time_ms_team_total,mean_allocator_solve_time_ms_team_total,mean_candidate_filter_time_ms_team_total
bayesian_cbaa_fixed_k1_k1,bayesian,CBAA,K=1,0.0027700831024930748,1,25,25,0,142.16,217.2,778.97099808,216.28869592000004,562.68230216
bayesian_cbaa_topk_001_k4,bayesian,CBAA,1%,0.0100000000000000002,4,25,25,0,157.16,232.2,113.19897252000001,32.12653716,81.07243536
bayesian_cbaa_topk_003_k11,bayesian,CBAA,3%,0.0299999999999999989,11,25,25,0,146.96,222.0,165.30742288000002,55.023764359999994,110.28365852
collaborative_cbaa_fixed_k1_k1,collaborative,CBAA,K=1,0.0200000000000000004,1,10,10,0,149.3,149.3,77.04496859999999,66.3285743,10.7163943
collaborative_cbaa_fixed_k2_k2,collaborative,CBAA,K=2,0.0400000000000000008,2,10,10,0,157.5,157.5,60.76467110000001,53.2523185,7.5123526
bayesian_acbba_fixed_k1_k1,bayesian,ACBBA,K=1,0.0027700831024930748,1,25,25,0,135.76,210.8,823.0632982400001,299.14085872,523.92243952
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.0100000000000000002,4,25,25,0,152.72,227.76,313.17202824,151.05447992,162.11754832
bayesian_acbba_topk_003_k11,bayesian,ACBBA,3%,0.0299999999999999989,11,25,25,0,150.24,225.28,297.3633976,178.55824304,118.80515455999999
collaborative_acbba_fixed_k1_k1,collaborative,ACBBA,K=1,0.0200000000000000004,1,10,10,0,157.1,157.1,135.46386969999998,117.1996621,18.2642076
collaborative_acbba_fixed_k2_k2,collaborative,ACBBA,K=2,0.0400000000000000008,2,10,10,0,165.3,165.3,151.6443604,134.7885079,16.8558525
bayesian_pi_fixed_k1_k1,bayesian,PI,K=1,0.0027700831024930748,1,25,25,0,127.16,202.2,911.4720931600001,353.90624668000004,557.56584648
bayesian_pi_topk_001_k4,bayesian,PI,1%,0.0100000000000000002,4,25,25,0,144.16,219.2,364.09885396,155.7769362,208.32191776
bayesian_pi_topk_003_k11,bayesian,PI,3%,0.0299999999999999989,11,25,25,0,135.48,210.52,98.37345767999999,58.27309288000001,40.100364799999994
collaborative_pi_fixed_k1_k1,collaborative,PI,K=1,0.0200000000000000004,1,10,10,0,152.5,152.5,326.46726150000006,300.1161181,26.3511434
collaborative_pi_fixed_k2_k2,collaborative,PI,K=2,0.0400000000000000008,2,10,10,0,156.8,156.8,353.1776335,329.3715651,23.8060684
bayesian_hipc_fixed_k1_k1,bayesian,HIPC,K=1,0.0027700831024930748,1,25,24,1,124.08333333333333,195.16666666666666,1574.3576689166669,410.6669253333334,1163.6907435833334
bayesian_hipc_topk_001_k4,bayesian,HIPC,1%,0.0100000000000000002,4,25,25,0,142.24,217.28,574.80449444,192.97149128,381.83300316000003
bayesian_hipc_topk_003_k11,bayesian,HIPC,3%,0.0299999999999999989,11,25,25,0,145.52,220.56,151.70010584,71.53608812,80.16401772
collaborative_hipc_fixed_k1_k1,collaborative,HIPC,K=1,0.0200000000000000004,1,10,10,0,136.2,136.2,181.34550689999998,157.306647,24.0388599
collaborative_hipc_fixed_k2_k2,collaborative,HIPC,K=2,0.0400000000000000008,2,10,10,0,140.4,140.4,189.9145034,171.58420529999998,18.3302981
bayesian_dmchba_fixed_k1_k1,bayesian,DMCHBA,K=1,0.0027700831024930748,1,25,21,4,113.85714285714286,182.23809523809524,2785.519483714286,85.24415938095238,2700.275324333333
bayesian_dmchba_topk_001_k4,bayesian,DMCHBA,1%,0.0100000000000000002,4,25,25,0,156.96,232.0,316.9949604,19.78758248,297.20737792
bayesian_dmchba_topk_003_k11,bayesian,DMCHBA,3%,0.0299999999999999989,11,25,25,0,129.68,204.72,157.162006,26.85469376,130.30731224000002
collaborative_dmchba_fixed_k1_k1,collaborative,DMCHBA,K=1,0.0200000000000000004,1,10,10,0,144.4,144.4,301.9932216,266.577391,35.41583060000001
collaborative_dmchba_fixed_k2_k2,collaborative,DMCHBA,K=2,0.0400000000000000008,2,10,10,0,155.9,155.9,156.0423601,138.454743,17.5876171
bayesian_dga_fixed_k1_k1,bayesian,DGA,K=1,0.0027700831024930748,1,25,21,4,108.76190476190476,179.57142857142858,46833.76940809524,45654.753416904765,1179.0159911904761
bayesian_dga_topk_001_k4,bayesian,DGA,1%,0.0100000000000000002,4,25,25,0,150.28,225.32,11621.39035368,11409.1558232,212.23453048
bayesian_dga_topk_003_k11,bayesian,DGA,3%,0.0299999999999999989,11,25,25,0,141.52,216.56,8259.83477556,8172.64414092,87.19063464000001
collaborative_dga_fixed_k1_k1,collaborative,DGA,K=1,0.0200000000000000004,1,10,10,0,138.3,138.3,20094.1057063,20074.10559,20.0001163
collaborative_dga_fixed_k2_k2,collaborative,DGA,K=2,0.0400000000000000008,2,10,10,0,168.8,168.8,17012.4312144,17000.4492292,11.9819852
