condition_id,mission,algorithm,top_k_level,top_k_rate,top_k_max_cells,trials,completed_trials,failed_trials,mean_primary_steps,mean_total_team_steps,mean_allocator_time_ms_team_total,mean_allocator_solve_time_ms_team_total,mean_candidate_filter_time_ms_team_total
bayesian_cbaa_fixed_k1_k1,bayesian,CBAA,K=1,0.0027700831024930748,1,500,499,1,103.97394789579158,163.81763527054107,566.2059176392785,141.0986613727455,425.10725626653306
bayesian_cbaa_topk_001_k4,bayesian,CBAA,1%,0.0100000000000000002,4,500,500,0,114.406,174.448,89.53060946199999,23.546596056,65.984013406
bayesian_cbaa_topk_003_k11,bayesian,CBAA,3%,0.0299999999999999989,11,500,500,0,107.782,167.824,126.207216366,39.343593031999994,86.86362333400001
collaborative_cbaa_fixed_k1_k1,collaborative,CBAA,K=1,0.0200000000000000004,1,100,100,0,153.58,153.58,83.29161425000001,71.48696724,11.804647009999998
collaborative_cbaa_fixed_k2_k2,collaborative,CBAA,K=2,0.0400000000000000008,2,100,100,0,161.55,161.55,62.67507543,54.72414102,7.9509344099999995
bayesian_acbba_fixed_k1_k1,bayesian,ACBBA,K=1,0.0027700831024930748,1,500,500,0,108.386,168.428,702.168889358,259.477437998,442.69145136000003
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.0100000000000000002,4,500,498,2,115.41967871485944,175.51606425702812,238.27095058232933,110.19566753012049,128.07528305220885
bayesian_acbba_topk_003_k11,bayesian,ACBBA,3%,0.0299999999999999989,11,500,500,0,108.966,169.008,221.782921332,126.16789479200001,95.61502654
collaborative_acbba_fixed_k1_k1,collaborative,ACBBA,K=1,0.0200000000000000004,1,100,100,0,158.53,158.53,141.12609971,122.54691930999999,18.5791804
collaborative_acbba_fixed_k2_k2,collaborative,ACBBA,K=2,0.0400000000000000008,2,100,100,0,160.92,160.92,144.34727619,126.60460628000001,17.74266991
bayesian_pi_fixed_k1_k1,bayesian,PI,K=1,0.0027700831024930748,1,500,500,0,105.872,165.914,739.319285616,281.681520174,457.637765442
bayesian_pi_topk_001_k4,bayesian,PI,1%,0.0100000000000000002,4,500,498,2,111.24899598393574,171.25301204819277,262.6032879317269,115.47515925100402,147.12812868072288
bayesian_pi_topk_003_k11,bayesian,PI,3%,0.0299999999999999989,11,500,500,0,111.908,171.95,84.06608981999999,49.714968463999995,34.351121356
collaborative_pi_fixed_k1_k1,collaborative,PI,K=1,0.0200000000000000004,1,100,100,0,155.45,155.45,316.20979725,289.84697814,26.36281911
collaborative_pi_fixed_k2_k2,collaborative,PI,K=2,0.0400000000000000008,2,100,100,0,160.51,160.51,363.81711428,339.19631883,24.62079545
bayesian_hipc_fixed_k1_k1,bayesian,HIPC,K=1,0.0027700831024930748,1,500,456,44,85.09429824561404,145.3421052631579,929.3173679429824,231.33576800657892,697.9815999364034
bayesian_hipc_topk_001_k4,bayesian,HIPC,1%,0.0100000000000000002,4,500,496,4,104.45967741935483,164.58064516129033,413.1448599294355,132.59894150403224,280.5459184254032
bayesian_hipc_topk_003_k11,bayesian,HIPC,3%,0.0299999999999999989,11,500,500,0,108.9,168.942,118.646905562,54.399724545999995,64.247181016
collaborative_hipc_fixed_k1_k1,collaborative,HIPC,K=1,0.0200000000000000004,1,100,100,0,140.07,140.07,176.95097051000002,155.20866442,21.742306090000003
collaborative_hipc_fixed_k2_k2,collaborative,HIPC,K=2,0.0400000000000000008,2,100,100,0,140.71,140.71,201.82793286,181.64361172,20.184321139999998
bayesian_dmchba_fixed_k1_k1,bayesian,DMCHBA,K=1,0.0027700831024930748,1,500,446,54,84.32286995515695,144.18385650224215,1914.7299964977576,55.12231314573991,1859.607683352018
bayesian_dmchba_topk_001_k4,bayesian,DMCHBA,1%,0.0100000000000000002,4,500,500,0,116.98,177.022,258.44307239,14.274700622000001,244.16837176800001
bayesian_dmchba_topk_003_k11,bayesian,DMCHBA,3%,0.0299999999999999989,11,500,500,0,106.608,166.65,128.681082204,21.135466622,107.545615582
collaborative_dmchba_fixed_k1_k1,collaborative,DMCHBA,K=1,0.0200000000000000004,1,100,100,0,140.8,140.8,244.54921534000002,211.59552025000002,32.953695090000004
collaborative_dmchba_fixed_k2_k2,collaborative,DMCHBA,K=2,0.0400000000000000008,2,100,100,0,159.5,159.5,138.71332125,121.93750284,16.77581841
bayesian_dga_fixed_k1_k1,bayesian,DGA,K=1,0.0027700831024930748,1,500,457,43,90.9890590809628,152.32822757111597,37907.837712960616,36979.67820698249,928.1595059781181
bayesian_dga_topk_001_k4,bayesian,DGA,1%,0.0100000000000000002,4,500,500,0,110.696,170.738,9631.653311877999,9447.496433464,184.156878414
bayesian_dga_topk_003_k11,bayesian,DGA,3%,0.0299999999999999989,11,500,500,0,116.478,176.52,6809.888099044,6736.277799572001,73.610299472
collaborative_dga_fixed_k1_k1,collaborative,DGA,K=1,0.0200000000000000004,1,100,100,0,142.85,142.85,20998.58016896,20979.47573633,19.104432629999998
collaborative_dga_fixed_k2_k2,collaborative,DGA,K=2,0.0400000000000000008,2,100,100,0,162.24,162.24,16709.68826046,16697.98436429,11.70389617
