trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
14,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,23,27,"(21,27);(24,26);(7,22);(13,24)",03,21,27,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(23,2);01:(22,12);02:(21,22);03:(23,27)",00:0;01:0;02:0;03:1,03,completed
15,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,13,22,"(14,19);(9,22);(13,25);(17,4)",02,14,19,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(11,15);01:(11,17);02:(13,22);03:(20,22)",00:0;01:0;02:1;03:0,02,completed
16,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,7,10,"(4,12);(6,7);(24,0);(7,8)",00,24,0,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(7,10);01:(12,16);02:(5,4);03:(13,14)",00:1;01:0;02:2;03:0,00,completed
17,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,14,24,"(24,25);(14,25);(13,20);(24,23)",02,13,20,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(13,15);01:(15,16);02:(17,22);03:(14,24)",00:0;01:0;02:1;03:0,03,completed
18,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,26,20,"(26,27);(24,25);(9,19);(1,16)",03,26,27,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(27,1);01:(27,10);02:(26,20);03:(26,26)",00:0;01:0;02:0;03:1,02,completed
19,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,7,4,"(14,10);(13,26);(0,3);(5,14)",01,14,10,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(19,4);01:(22,3);02:(7,4);03:(21,5)",00:0;01:1;02:0;03:0,02,completed
20,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,11,17,"(11,12);(11,19);(13,22);(12,17)",02,11,19,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(9,16);01:(15,16);02:(11,17);03:(11,16)",00:0;01:2;02:1;03:0,02,completed
21,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,18,13,"(23,17);(9,8);(2,0);(19,14)",00,2,0,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(16,17);01:(17,14);02:(0,16);03:(18,13)",00:1;01:1;02:1;03:0,03,completed
22,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,9,23,"(3,19);(15,5);(8,17);(19,16)",02,3,19,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(13,11);01:(7,7);02:(9,23);03:(1,10)",00:0;01:0;02:1;03:1,02,completed
23,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,14,21,"(8,20);(16,22);(12,18);(10,23)",02,12,18,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(13,14);01:(15,19);02:(9,17);03:(14,21)",00:0;01:0;02:1;03:0,03,completed
24,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,1,21,"(18,4);(7,10);(0,14);(23,21)",03,23,21,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(1,21);01:(1,25);02:(2,15);03:(0,8)",00:1;01:3;02:0;03:1,00,completed
25,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,17,10,"(11,18);(11,7);(20,20);(17,9)",02,11,18,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(26,26);01:(16,13);02:(25,26);03:(17,10)",00:1;01:0;02:1;03:0,03,completed
26,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,7,21,"(22,16);(8,15);(2,18);(20,22)",02,2,18,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(10,17);01:(7,11);02:(6,20);03:(7,21)",00:1;01:0;02:1;03:0,03,completed
27,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,1,3,"(18,4);(0,7);(20,15);(2,3)",00,2,3,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(1,3);01:(3,12);02:(7,14);03:(5,23)",00:1;01:0;02:0;03:0,00,completed
28,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,12,24,"(2,23);(20,25);(15,8);(10,8)",03,2,23,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(14,17);01:(11,25);02:(7,13);03:(12,24)",00:0;01:0;02:0;03:1,03,completed
29,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,18,8,"(20,10);(25,11);(17,8);(9,3)",01,20,10,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(18,8);01:(22,12);02:(19,12);03:(21,17)",00:0;01:1;02:0;03:0,00,completed
30,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,3,17,"(20,10);(22,4);(26,0);(10,8)",00,26,0,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(22,25);01:(18,26);02:(14,25);03:(3,17)",00:1;01:2;02:0;03:1,03,completed
31,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,27,0,"(10,3);(0,20);(26,1);(8,18)",02,8,18,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(25,4);01:(26,5);02:(22,21);03:(27,0)",00:1;01:1;02:1;03:1,03,completed
32,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,27,21,"(6,16);(26,4);(27,20);(25,7)",,,,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(23,1);01:(23,10);02:(23,19);03:(27,21)",00:0;01:0;02:0;03:0,03,completed
33,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,17,17,"(6,17);(19,22);(6,10);(5,25)",01,6,10,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(6,22);01:(17,17);02:(11,26);03:(10,24)",00:0;01:1;02:1;03:1,01,completed
34,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,HIPC,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,2,17,"(2,18);(10,11);(8,21);(3,16)",02,2,18,"00:(0,0);01:(0,9);02:(0,18);03:(0,27)","00:(3,0);01:(2,10);02:(2,17);03:(2,26)",00:0;01:0;02:1;03:0,02,completed
