algorithm,campaign_mode,condition_id,detector,device_id,event,journaled_at,mission,new_threshold,observed_streak,old_threshold,policy,record_type,run_generation,schema,top_k_level,trial_id,campaign_id,campaign_manifest_schema,campaign_manifest_sha256,implementation_id,campaign_build_id,build_manifest_sha256,allocator_source_bundle_sha256,deployed_module_set_sha256,host_source_sha256,simulator_source_sha256,scenario_sha256,analysis_valid,invalidation_reason,historical_system_csv,historical_system_sha256
PI,pololu_authoritative_hil,collaborative_pi_topk_fixed_k1,deadlock_repeated_state,e4621cb30b2b352f,385,1785840605.254731,collaborative,13,10,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=1,26,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,d752782f6751b5d9dd2b9b4b80baecd630b8d38f11d92d223df2a611d68e688c,True,,,
DMCHBA,pololu_authoritative_hil,collaborative_dmchba_topk_fixed_k2,deadlock_repeated_state,e4621cb30b43372f,713,1785747877.3397708,collaborative,12,9,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 12, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,,
DMCHBA,pololu_authoritative_hil,collaborative_dmchba_topk_fixed_k2,deadlock_repeated_state,e4621cb30b43372f,920,1785788163.1466656,collaborative,14,11,10,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 14, 'repeated_state_window': 128}",watchdog_threshold_adjustment,2,1,K=2,31,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,aac1da8ac3698975c63746c31cd4e765c41a21c9ba0d2e709eae101cf3db6981,True,,,
CBAA,pololu_authoritative_hil,collaborative_cbaa_topk_005_k3,deadlock_repeated_state,e4621cb30b43372f,424,1785790836.5685818,collaborative,12,9,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 12, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,5%,32,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,8a5898efaa3825a3433c0a37615b40acb953a85c97f96d4426e660cc2f9265cd,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\cbaa\topk_005\system_performance.csv,cbc04b9d1d6031878737e63a353ffa48a23057750e2df833cd9938e09b45ef4f
HIPC,pololu_authoritative_hil,collaborative_hipc_topk_fixed_k2,deadlock_repeated_state,e4621cb30b43372f,452,1785791672.6976886,collaborative,15,11,14,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 15, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,12,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,7da2d0faffefac05d3a2acb3aff18260fa69e261a2a3520e26f7491ad889066f,True,,,
CBAA,pololu_authoritative_hil,collaborative_cbaa_topk_fixed_k2,deadlock_repeated_state,e4621cb30b43372f,534,1785823624.8775027,collaborative,13,10,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,49,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,8201ef025fa4155458c166cfea61830d30005a55b9db8f4b478482442e2e2730,True,,,
DMCHBA,pololu_authoritative_hil,collaborative_dmchba_topk_fixed_k1,deadlock_repeated_state,e4621cb30b43372f,39,1785823735.3771017,collaborative,13,10,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=1,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,,
DMCHBA,pololu_authoritative_hil,collaborative_dmchba_topk_fixed_k1,deadlock_repeated_state,e4621cb30b43372f,77,1785823849.701533,collaborative,17,13,13,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 17, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=1,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,,
HIPC,pololu_authoritative_hil,collaborative_hipc_topk_fixed_k1,deadlock_repeated_state,e4621cb30b43372f,412,1785835425.430756,collaborative,14,11,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 14, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=1,12,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,7da2d0faffefac05d3a2acb3aff18260fa69e261a2a3520e26f7491ad889066f,True,,,
ACBBA,pololu_authoritative_hil,collaborative_acbba_topk_010_k5,deadlock_repeated_state,e4621cb30b4b372f,454,1785717701.2565975,collaborative,14,11,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 14, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,10%,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\acbba\topk_010\system_performance.csv,0f6404b4c294e8d00052830c726ba5ac56b696902482c1b97410df49a36c2fa6
DGA,pololu_authoritative_hil,collaborative_dga_topk_fixed_k2,deadlock_repeated_state,e4621cb30b4b372f,447,1785731259.1017587,collaborative,13,10,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,14,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,bd9da7958092af4a986e1f066efb839700f43994d6a2e1a28b0f5dafab1f79e3,True,,,
ACBBA,pololu_authoritative_hil,collaborative_acbba_topk_005_k3,deadlock_repeated_state,e4621cb30b4b372f,582,1785742532.9925365,collaborative,14,11,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 14, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,5%,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\acbba\topk_005\system_performance.csv,066e93398871abbadf9d27bb79a743a91c73f3bafaf0af88adfefb484054b025
PI,pololu_authoritative_hil,collaborative_pi_topk_fixed_k2,deadlock_repeated_state,e4621cb30b4b372f,415,1785795261.8061645,collaborative,12,9,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 12, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,,
PI,pololu_authoritative_hil,collaborative_pi_topk_fixed_k2,deadlock_repeated_state,e4621cb30b4b372f,422,1785799986.8873768,collaborative,12,9,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 12, 'repeated_state_window': 128}",watchdog_threshold_adjustment,2,1,K=2,74,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,c991bf432abd39814bc06fe2a7ab7347065a82a9c805f04a0902580e1cc89ed5,True,,,
ACBBA,pololu_authoritative_hil,collaborative_acbba_topk_fixed_k1,deadlock_repeated_state,e4621cb30b4b372f,330,1785838757.2328765,collaborative,13,10,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=1,12,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,7da2d0faffefac05d3a2acb3aff18260fa69e261a2a3520e26f7491ad889066f,True,,,
