algorithm,campaign_mode,condition_id,detector,device_id,event,journaled_at,mission,new_threshold,observed_streak,old_threshold,policy,record_type,run_generation,schema,top_k_level,trial_id,campaign_id,campaign_manifest_schema,campaign_manifest_sha256,implementation_id,campaign_build_id,build_manifest_sha256,allocator_source_bundle_sha256,deployed_module_set_sha256,host_source_sha256,simulator_source_sha256,scenario_sha256,analysis_valid,invalidation_reason,historical_system_csv,historical_system_sha256
PI,pololu_authoritative_hil,collaborative_pi_topk_005_k3,deadlock_repeated_state,e4621cb30b16392f,474,1785745381.3896549,collaborative,10,8,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 10, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,5%,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\pi\topk_005\system_performance.csv,a65f5a08b4c94f360d8f35c3e560444d2e337d72f8db057071e3d0cb425879c2
PI,pololu_authoritative_hil,collaborative_pi_topk_fixed_k2,deadlock_repeated_state,e4621cb30b16392f,469,1785795432.1733174,collaborative,15,12,12,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 15, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,12,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,7da2d0faffefac05d3a2acb3aff18260fa69e261a2a3520e26f7491ad889066f,True,,,
HIPC,pololu_authoritative_hil,collaborative_hipc_topk_050_k25,deadlock_repeated_state,e4621cb30b2b352f,380,1785669316.9514542,collaborative,13,10,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,2,1,50%,41,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,9c551e618a50a1a7612ddd4f682aecd4e07c70b6227e6d0fd07e9d010848789d,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\hipc\topk_050\system_performance.csv,991083e61a7be3334b83a01e41a1a7a303959b38b1c62653852515f54556ff37
HIPC,pololu_authoritative_hil,collaborative_hipc_topk_025_k13,deadlock_repeated_state,e4621cb30b2b352f,394,1785673043.050101,collaborative,13,10,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,25%,74,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,c991bf432abd39814bc06fe2a7ab7347065a82a9c805f04a0902580e1cc89ed5,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\hipc\topk_025\system_performance.csv,c302eb41ac35b37fea413c95358c3d202b52debc398a75e809ad9cddfcfda5ca
HIPC,pololu_authoritative_hil,collaborative_hipc_topk_010_k5,deadlock_repeated_state,e4621cb30b2b352f,413,1785683050.0524545,collaborative,10,8,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 10, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,10%,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\hipc\topk_010\system_performance.csv,c188d4b6e1629305ea2f145617e245ad67b22c0fd12f558b85809835df2d8ebd
HIPC,pololu_authoritative_hil,collaborative_hipc_topk_010_k5,deadlock_repeated_state,e4621cb30b2b352f,436,1785683911.8215892,collaborative,13,10,10,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 13, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,10%,12,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,7da2d0faffefac05d3a2acb3aff18260fa69e261a2a3520e26f7491ad889066f,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\hipc\topk_010\system_performance.csv,c188d4b6e1629305ea2f145617e245ad67b22c0fd12f558b85809835df2d8ebd
PI,pololu_authoritative_hil,collaborative_pi_topk_010_k5,deadlock_repeated_state,e4621cb30b2b352f,433,1785719500.881417,collaborative,15,12,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 15, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,10%,12,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,7da2d0faffefac05d3a2acb3aff18260fa69e261a2a3520e26f7491ad889066f,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\pi\topk_010\system_performance.csv,4d80cb00c602a004c9957a6d264f1d4c3e8f3ca75a534dd125a216e2cc6e813f
DMCHBA,pololu_authoritative_hil,collaborative_dmchba_topk_fixed_k2,deadlock_repeated_state,e4621cb30b2b352f,589,1785787528.8659666,collaborative,10,8,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 10, 'repeated_state_window': 128}",watchdog_threshold_adjustment,2,1,K=2,30,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,ce8cfb5b2d6e50363f4c0db5832df9336ce1a83e4864d76079e89c1d3f345e66,True,,,
HIPC,pololu_authoritative_hil,collaborative_hipc_topk_fixed_k2,deadlock_repeated_state,e4621cb30b2b352f,497,1785791580.6885946,collaborative,14,11,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 14, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,,
ACBBA,pololu_authoritative_hil,collaborative_acbba_topk_fixed_k2,deadlock_repeated_state,e4621cb30b2b352f,470,1785793357.220719,collaborative,15,12,8,"{'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 15, 'repeated_state_window': 128}",watchdog_threshold_adjustment,1,1,K=2,10,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,,
