condition_index,condition_id,mission,algorithm_key,algorithm_name,algorithm_import,top_k_level,top_k_rate,top_k_max_cells,top_k_basis,scenario_file,scenario_sha256,num_trials,out_dir,working_directory,weight,command
0,bayesian_cbaa_fixed_k1_k1,bayesian,cbaa,CBAA,benchmark_sim.algorithms.CBAA:CBAAAllocator,K=1,0.0027700831024930748,1,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/cbaa/fixed_k1,/home/agxorin/topk_filter_study/simulator,5,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0027700831024930748"", ""--condition-id"", ""bayesian_cbaa_fixed_k1_k1"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/cbaa/fixed_k1"", ""--no-scenario-manifest-lock""]"
1,bayesian_cbaa_topk_001_k4,bayesian,cbaa,CBAA,benchmark_sim.algorithms.CBAA:CBAAAllocator,1%,0.0100000000000000002,4,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/cbaa/topk_001,/home/agxorin/topk_filter_study/simulator,8,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0100000000000000002"", ""--condition-id"", ""bayesian_cbaa_topk_001_k4"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/cbaa/topk_001"", ""--no-scenario-manifest-lock""]"
2,bayesian_cbaa_topk_003_k11,bayesian,cbaa,CBAA,benchmark_sim.algorithms.CBAA:CBAAAllocator,3%,0.0299999999999999989,11,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/cbaa/topk_003,/home/agxorin/topk_filter_study/simulator,15,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0299999999999999989"", ""--condition-id"", ""bayesian_cbaa_topk_003_k11"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/cbaa/topk_003"", ""--no-scenario-manifest-lock""]"
3,collaborative_cbaa_fixed_k1_k1,collaborative,cbaa,CBAA,known_visit_sim.algorithms.CBAA:CBAAAllocator,K=1,0.0200000000000000004,1,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/cbaa/fixed_k1,/home/agxorin/dcta_benchmark_sim,35,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/cbaa/fixed_k1"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_cbaa_fixed_k1_k1"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""1""]"
4,collaborative_cbaa_fixed_k2_k2,collaborative,cbaa,CBAA,known_visit_sim.algorithms.CBAA:CBAAAllocator,K=2,0.0400000000000000008,2,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/cbaa/fixed_k2,/home/agxorin/dcta_benchmark_sim,36,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/cbaa/fixed_k2"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_cbaa_fixed_k2_k2"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""2""]"
5,bayesian_acbba_fixed_k1_k1,bayesian,acbba,ACBBA,benchmark_sim.algorithms.ACBBA:ACBBAAllocator,K=1,0.0027700831024930748,1,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/acbba/fixed_k1,/home/agxorin/topk_filter_study/simulator,9,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0027700831024930748"", ""--condition-id"", ""bayesian_acbba_fixed_k1_k1"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/acbba/fixed_k1"", ""--no-scenario-manifest-lock""]"
6,bayesian_acbba_topk_001_k4,bayesian,acbba,ACBBA,benchmark_sim.algorithms.ACBBA:ACBBAAllocator,1%,0.0100000000000000002,4,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/acbba/topk_001,/home/agxorin/topk_filter_study/simulator,12,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0100000000000000002"", ""--condition-id"", ""bayesian_acbba_topk_001_k4"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/acbba/topk_001"", ""--no-scenario-manifest-lock""]"
7,bayesian_acbba_topk_003_k11,bayesian,acbba,ACBBA,benchmark_sim.algorithms.ACBBA:ACBBAAllocator,3%,0.0299999999999999989,11,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/acbba/topk_003,/home/agxorin/topk_filter_study/simulator,19,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0299999999999999989"", ""--condition-id"", ""bayesian_acbba_topk_003_k11"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/acbba/topk_003"", ""--no-scenario-manifest-lock""]"
8,collaborative_acbba_fixed_k1_k1,collaborative,acbba,ACBBA,known_visit_sim.algorithms.ACBBA:ACBBAAllocator,K=1,0.0200000000000000004,1,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/acbba/fixed_k1,/home/agxorin/dcta_benchmark_sim,39,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/acbba/fixed_k1"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_acbba_fixed_k1_k1"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""1""]"
9,collaborative_acbba_fixed_k2_k2,collaborative,acbba,ACBBA,known_visit_sim.algorithms.ACBBA:ACBBAAllocator,K=2,0.0400000000000000008,2,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/acbba/fixed_k2,/home/agxorin/dcta_benchmark_sim,40,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/acbba/fixed_k2"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_acbba_fixed_k2_k2"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""2""]"
