condition_index,condition_id,mission,algorithm_key,algorithm_name,algorithm_import,top_k_level,top_k_rate,top_k_max_cells,top_k_basis,scenario_file,scenario_sha256,num_trials,out_dir,working_directory,weight,command
10,bayesian_pi_fixed_k1_k1,bayesian,pi,PI,benchmark_sim.algorithms.PI:PIAllocator,K=1,0.0027700831024930748,1,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/pi/fixed_k1,/home/agxorin/topk_filter_study/simulator,9,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0027700831024930748"", ""--condition-id"", ""bayesian_pi_fixed_k1_k1"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/pi/fixed_k1"", ""--no-scenario-manifest-lock""]"
11,bayesian_pi_topk_001_k4,bayesian,pi,PI,benchmark_sim.algorithms.PI:PIAllocator,1%,0.0100000000000000002,4,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/pi/topk_001,/home/agxorin/topk_filter_study/simulator,12,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0100000000000000002"", ""--condition-id"", ""bayesian_pi_topk_001_k4"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/pi/topk_001"", ""--no-scenario-manifest-lock""]"
12,bayesian_pi_topk_003_k11,bayesian,pi,PI,benchmark_sim.algorithms.PI:PIAllocator,3%,0.0299999999999999989,11,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/pi/topk_003,/home/agxorin/topk_filter_study/simulator,19,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0299999999999999989"", ""--condition-id"", ""bayesian_pi_topk_003_k11"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/pi/topk_003"", ""--no-scenario-manifest-lock""]"
13,collaborative_pi_fixed_k1_k1,collaborative,pi,PI,known_visit_sim.algorithms.PI:PIAllocator,K=1,0.0200000000000000004,1,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/pi/fixed_k1,/home/agxorin/dcta_benchmark_sim,39,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/pi/fixed_k1"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_pi_fixed_k1_k1"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""1""]"
14,collaborative_pi_fixed_k2_k2,collaborative,pi,PI,known_visit_sim.algorithms.PI:PIAllocator,K=2,0.0400000000000000008,2,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/pi/fixed_k2,/home/agxorin/dcta_benchmark_sim,40,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/pi/fixed_k2"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_pi_fixed_k2_k2"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""2""]"
15,bayesian_hipc_fixed_k1_k1,bayesian,hipc,HIPC,benchmark_sim.algorithms.HIPC:HIPCAllocator,K=1,0.0027700831024930748,1,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/hipc/fixed_k1,/home/agxorin/topk_filter_study/simulator,11,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0027700831024930748"", ""--condition-id"", ""bayesian_hipc_fixed_k1_k1"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/hipc/fixed_k1"", ""--no-scenario-manifest-lock""]"
16,bayesian_hipc_topk_001_k4,bayesian,hipc,HIPC,benchmark_sim.algorithms.HIPC:HIPCAllocator,1%,0.0100000000000000002,4,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/hipc/topk_001,/home/agxorin/topk_filter_study/simulator,14,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0100000000000000002"", ""--condition-id"", ""bayesian_hipc_topk_001_k4"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/hipc/topk_001"", ""--no-scenario-manifest-lock""]"
17,bayesian_hipc_topk_003_k11,bayesian,hipc,HIPC,benchmark_sim.algorithms.HIPC:HIPCAllocator,3%,0.0299999999999999989,11,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/hipc/topk_003,/home/agxorin/topk_filter_study/simulator,21,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0299999999999999989"", ""--condition-id"", ""bayesian_hipc_topk_003_k11"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/hipc/topk_003"", ""--no-scenario-manifest-lock""]"
18,collaborative_hipc_fixed_k1_k1,collaborative,hipc,HIPC,known_visit_sim.algorithms.HIPC:HIPCAllocator,K=1,0.0200000000000000004,1,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/hipc/fixed_k1,/home/agxorin/dcta_benchmark_sim,41,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/hipc/fixed_k1"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_hipc_fixed_k1_k1"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""1""]"
19,collaborative_hipc_fixed_k2_k2,collaborative,hipc,HIPC,known_visit_sim.algorithms.HIPC:HIPCAllocator,K=2,0.0400000000000000008,2,initial_targets,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,65e2b663ad5f6da34b6b68c20429281488f65a1e9d7e4d70805cd45e785ea421,100,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/hipc/fixed_k2,/home/agxorin/dcta_benchmark_sim,42,"[""/usr/bin/python"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv"", ""--max-trials"", ""100"", ""--seed"", ""0"", ""--algorithm"", ""known_visit_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--comm-model"", ""ideal"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/collaborative/hipc/fixed_k2"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""collaborative_hipc_fixed_k2_k2"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""2""]"
20,bayesian_dmchba_fixed_k1_k1,bayesian,dmchba,DMCHBA,benchmark_sim.algorithms.DMCHBA:DMCHBAAllocator,K=1,0.0027700831024930748,1,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/dmchba/fixed_k1,/home/agxorin/topk_filter_study/simulator,17,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.DMCHBA:DMCHBAAllocator"", ""--algorithm-name"", ""DMCHBA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0027700831024930748"", ""--condition-id"", ""bayesian_dmchba_fixed_k1_k1"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/dmchba/fixed_k1"", ""--no-scenario-manifest-lock""]"
21,bayesian_dmchba_topk_001_k4,bayesian,dmchba,DMCHBA,benchmark_sim.algorithms.DMCHBA:DMCHBAAllocator,1%,0.0100000000000000002,4,grid_cells,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,500,/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/dmchba/topk_001,/home/agxorin/topk_filter_study/simulator,20,"[""/usr/bin/python"", ""-m"", ""benchmark_sim.run_trials"", ""--study-profile"", ""custom"", ""--scenario-file"", ""/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv"", ""--max-trials"", ""500"", ""--seed"", ""0"", ""--algorithm"", ""benchmark_sim.algorithms.DMCHBA:DMCHBAAllocator"", ""--algorithm-name"", ""DMCHBA"", ""--comm-model"", ""ideal"", ""--top-k-rate"", ""0.0100000000000000002"", ""--condition-id"", ""bayesian_dmchba_topk_001_k4"", ""--debug-max-events"", ""15000"", ""--out-dir"", ""/home/agxorin/topk_filter_study/results/hil_aligned_simulation/missing_lowk_full_counts/raw/bayesian/dmchba/topk_001"", ""--no-scenario-manifest-lock""]"
