trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,top_k_rate,top_k_max_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,messages_delivered_to_robot,messages_dropped_to_robot
13,dcta_parity_v1,custom,7df77a3ff0b31b2021237e22b9522ca40851bd469b9952729d9f8a278c8c4f3f,419a56a0bdc4039468c23a24f751d84c74709cc12e3d4e6c6fb4e428d3ed040b,PI,ideal,1.0,19,361,0.5,181,2,180.5,180.5,scale_g19_r2_pi_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\cap_diagnostics\20260726_1143\scale_g19_r2_pi_topk050_trial13\scenario.csv,clue_search,failed,RuntimeError,Debug safety cap reached in trial 13. This usually means the allocator is stuck or returning no reachable goals.,00,,,,,,,,,,
13,dcta_parity_v1,custom,7df77a3ff0b31b2021237e22b9522ca40851bd469b9952729d9f8a278c8c4f3f,419a56a0bdc4039468c23a24f751d84c74709cc12e3d4e6c6fb4e428d3ed040b,PI,ideal,1.0,19,361,0.5,181,2,180.5,180.5,scale_g19_r2_pi_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\cap_diagnostics\20260726_1143\scale_g19_r2_pi_topk050_trial13\scenario.csv,clue_search,failed,RuntimeError,Debug safety cap reached in trial 13. This usually means the allocator is stuck or returning no reachable goals.,01,,,,,,,,,,
