trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,top_k_rate,top_k_max_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,96,53,43,98,2,4,0,0,356,1064,0,,98,258,198,158,250,158,0.0,3.63265306122449,5.813953488372093,1.6458333333333333,3.6744186046511627,1.6122448979591837,acbba_entry:158;clue:4;collision_intent:97;state:96;target:1,24,92,0.015306122448979664,76,51.228042,2.220912,16.384212,0.737862,24,34.843830000000004,1.543272
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,235,98,137,191,48,18,7,4,1079,3234,0,,254,825,497,582,883,582,0.0,5.649214659685864,6.445255474452555,2.476595744680851,4.248175182481752,3.0471204188481678,acbba_entry:582;clue:8;collision_intent:253;state:235;target:1,61,285,0.03795811518324599,205,328.41258000000005,25.697122,115.53452,16.598345,108,212.87806,24.747268
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,378,67,311,294,88,41,6,6,1985,5952,0,,408,1577,802,1183,1850,1183,0.0,6.7517006802721085,5.948553054662379,3.1296296296296298,3.8038585209003215,4.023809523809524,acbba_entry:1183;clue:16;collision_intent:407;state:378;target:1,100,503,0.00340136054421758,344,654.9532049999999,18.682239,332.39571100000006,17.363375,278,322.557494,17.163477
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,55,24,31,57,2,3,0,0,261,781,0,,58,203,121,140,213,140,0.0,4.578947368421052,6.870967741935484,2.5454545454545454,4.516129032258065,2.456140350877193,acbba_entry:140;clue:8;collision_intent:57;state:55;target:1,14,67,0.030701754385964897,44,76.58600799999999,18.444263,13.815374,0.760997,22,62.770634,17.683266
5,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,373,122,251,284,93,26,2,2,1837,5508,0,,397,1440,786,1051,1593,1051,0.0,6.46830985915493,6.346613545816733,2.8176943699731902,4.187250996015936,3.7007042253521125,acbba_entry:1051;clue:16;collision_intent:396;state:373;target:1,100,476,0.1161971830985915,374,535.350694,17.443212,287.71782599999995,16.684232,254,247.63286799999995,1.480618
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,68,21,47,70,2,4,0,0,400,1195,0,,72,328,144,256,358,256,0.0,5.714285714285714,7.617021276595745,3.764705882352941,5.446808510638298,3.657142857142857,acbba_entry:256;clue:4;collision_intent:71;state:68;target:1,19,105,0.06428571428571428,60,93.268795,2.750876,25.704542,0.962686,41,67.56425300000001,1.831742
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,38,5,33,38,4,4,3,2,243,727,0,,44,199,90,153,232,153,0.0,6.394736842105263,7.03030303030303,4.026315789473684,4.636363636363637,4.026315789473684,acbba_entry:153;clue:8;collision_intent:43;state:38;target:1,10,63,0.07894736842105265,26,66.286477,18.60013,13.041710000000002,0.749669,20,53.244767,17.878844
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,310,34,276,247,67,22,4,4,1678,5031,0,,338,1340,664,1014,1610,1014,0.0,6.793522267206478,5.833333333333333,3.270967741935484,3.6739130434782608,4.105263157894737,acbba_entry:1014;clue:16;collision_intent:337;state:310;target:1,82,433,0.053643724696356365,295,632.8804450000001,17.65002,313.825222,16.315637,263,319.05522299999996,1.705026
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,1,0,1,5,0,0,0,0,22,64,0,,5,17,10,12,22,12,0.0,4.4,22.0,12.0,12.0,2.4,acbba_entry:12;clue:4;collision_intent:4;state:1;target:1,1,7,0.1499999999999999,4,9.675108,2.534181,2.535942,0.743878,4,7.1391659999999995,1.803647
10,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,0.01,4,4,,,bayesian_acbba_topk_001_k4,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,completed,,,277,29,248,236,45,36,0,0,1685,5050,0,,291,1394,580,1105,1627,1105,0.0,7.139830508474576,6.560483870967742,3.9891696750902526,4.455645161290323,4.682203389830509,acbba_entry:1105;clue:12;collision_intent:290;state:277;target:1,73,428,0.02754237288135597,235,573.554482,18.552484,227.79035900000002,16.852353,208,345.7641230000001,17.73661
