trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max
0,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,399,90,309,325,78,0,2,2,814,2441,0,403,411,814,0,634,0,0.0,2.5046153846153847,2.0517799352750807,0.0,0.0,0.0,clue:12;collision_intent:402;state:399;target:1,100,204,0.020769230769230873,completed,199,258.948942,7.827644,53.595963000000005,1.17234,135,205.35297899999998,2.63379
1,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,115,53,62,114,5,0,0,0,236,705,0,117,119,236,0,130,0,0.0,2.0701754385964914,2.096774193548387,0.0,0.0,0.0,clue:4;collision_intent:116;state:115;target:1,30,62,0.026315789473684292,completed,76,83.63886300000001,8.47882,13.124814999999998,1.147125,29,70.514048,2.710427
2,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,221,98,123,193,32,0,3,2,454,1359,0,225,229,454,0,258,0,0.0,2.3523316062176165,2.097560975609756,0.0,0.0,0.0,clue:8;collision_intent:224;state:221;target:1,57,117,0.03756476683937815,completed,142,148.772736,7.778911,27.04901,1.457257,60,121.723726,2.353992
3,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,307,67,240,255,56,0,1,1,633,1898,0,310,323,633,0,498,0,0.0,2.4823529411764707,2.075,0.0,0.0,0.0,clue:16;collision_intent:309;state:307;target:1,78,160,0.04019607843137263,completed,156,244.133777,8.181519,41.651853,1.104248,106,202.481924,2.563008
4,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,47,24,23,50,1,0,0,0,99,294,0,48,51,99,0,51,0,0.0,1.98,2.217391304347826,0.0,0.0,0.0,clue:4;collision_intent:47;state:47;target:1,12,26,0.020000000000000018,completed,30,27.425216,6.732806,4.840618,1.076344,8,22.584598,2.845814
5,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,401,122,279,305,100,0,3,3,822,2462,0,405,417,822,0,578,0,0.0,2.6950819672131145,2.07168458781362,0.0,0.0,0.0,clue:16;collision_intent:404;state:401;target:1,102,208,0.04836065573770498,completed,214,225.618806,7.245842,48.876481,1.219377,116,176.742325,2.31889
6,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,73,21,52,74,3,0,0,0,151,448,0,74,77,151,0,109,0,0.0,2.0405405405405403,2.0961538461538463,0.0,0.0,0.0,clue:4;collision_intent:73;state:73;target:1,19,40,0.013513513513513598,completed,42,111.595137,27.090031,13.047577,1.165717,29,98.54755999999999,23.14989
7,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,24,5,19,27,1,0,0,0,53,154,0,25,28,53,0,42,0,0.0,1.962962962962963,2.210526315789474,0.0,0.0,0.0,clue:4;collision_intent:24;state:24;target:1,6,14,0.02777777777777768,completed,12,30.745734,9.40605,4.623889999999999,1.175923,8,26.121844,5.399255
8,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,146,34,112,138,12,0,2,1,308,921,0,150,158,308,0,240,0,0.0,2.2318840579710146,2.142857142857143,0.0,0.0,0.0,clue:12;collision_intent:149;state:146;target:1,37,80,0.03623188405797095,completed,78,155.97691099999997,8.839766,23.133412,1.127062,55,132.843499,2.856533
9,dcta_parity_v1,custom,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.03,11,,,bayesian_dmchba_topk_003_k11,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,0,12,16,0,0,0,0,29,81,0,13,16,29,0,29,0,0.0,1.8125,2.4166666666666665,0.0,0.0,0.0,clue:4;collision_intent:12;state:12;target:1,3,8,0.0,completed,8,28.192165,7.081976,4.009161,0.965596,8,24.183003999999997,3.151307
