algorithm,target_location,physical_trial_label,physical_source_episode,hil_trial_id,physical_clue_locations,hil_clue_locations,exact_scenario_match,comparison_status,physical_total_team_steps,hil_total_team_steps,steps_difference_physical_minus_hil,steps_ratio_physical_over_hil,physical_max_steps_any_robot,hil_max_steps_any_robot,max_steps_ratio_physical_over_hil,physical_allocation_exclusive_mean_us,hil_allocation_exclusive_mean_us,allocation_ratio_physical_over_hil,physical_filter_mean_us,hil_filter_mean_us,filter_ratio_physical_over_hil,physical_combined_allocator_mean_us,hil_combined_allocator_mean_us,combined_ratio_physical_over_hil,inferential_test
ACBBA,5/9,ACBBA 1,4,371,5/7;1/2;17/13;7/7,8/9;2/8;3/17;12/7,no,descriptive_only_same_target_different_clues,44,134,-90,0.3283582089552239,12,34,0.35294117647058826,575070.4,525557.2924528302,1.0942106755213823,704053.9333333333,1591312.5614035088,0.44243598046657195,1279124.3333333333,1381263.1037735848,0.9260540803839541,not_run_single_nonidentical_scenario_pair
CBAA,5/9,CBAA 1,4,371,5/7;1/2;17/13;7/7,8/9;2/8;3/17;12/7,no,descriptive_only_same_target_different_clues,50,137,-87,0.36496350364963503,14,35,0.4,230795.16666666666,47624.954545454544,4.846097363649754,307531.5833333333,585030.8205128205,0.5256673196529378,538326.75,306899.9772727273,1.7540788200242023,not_run_single_nonidentical_scenario_pair
DMCHBA,5/9,DMCHBA 1,4,371,5/7;1/2;17/13;7/7,8/9;2/8;3/17;12/7,no,descriptive_only_same_target_different_clues,44,152,-108,0.2894736842105263,12,38,0.3157894736842105,365586.85714285716,228935.96808510637,1.5968956743701852,247698.5,290888.36363636365,0.8515242648538708,507128.85714285716,297016.22340425535,1.7074113034311496,not_run_single_nonidentical_scenario_pair
HIPC,5/9,HIPC 1,4,371,5/7;1/2;17/13;7/7,8/9;2/8;3/17;12/7,no,descriptive_only_same_target_different_clues,44,134,-90,0.3283582089552239,13,34,0.38235294117647056,1198316.0,708394.9509803922,1.691593084255577,1166782.6,1300941.4905660378,0.8968755385704046,2365098.6,1384374.3529411764,1.708424166465684,not_run_single_nonidentical_scenario_pair
PI,5/9,PI 1,4,371,5/7;1/2;17/13;7/7,8/9;2/8;3/17;12/7,no,descriptive_only_same_target_different_clues,49,136,-87,0.3602941176470588,14,34,0.4117647058823529,746564.4,796554.4351851852,0.9372421607651167,1210199.2,1692669.6440677966,0.7149647920025721,1956763.6,1721253.5925925926,1.1368247005676118,not_run_single_nonidentical_scenario_pair
ACBBA,13/16,ACBBA 5,473,67,17/2;8/11;14/15;14/17,8/10;14/18;12/7;18/9,no,descriptive_only_same_target_different_clues,105,219,-114,0.4794520547945205,30,55,0.5454545454545454,595246.3684210526,848748.686746988,0.7013222850481954,1093425.5263157894,1565889.4102564103,0.6982776172786965,1688671.894736842,1952417.7289156627,0.8649132148962301,not_run_single_nonidentical_scenario_pair
CBAA,13/16,CBAA 5,473,67,17/2;8/11;14/15;14/17,8/10;14/18;12/7;18/9,no,descriptive_only_same_target_different_clues,93,259,-166,0.3590733590733591,24,66,0.36363636363636365,229542.33333333334,86688.21830985915,2.647906922170844,380172.26666666666,534491.8494623656,0.7112779494188249,609714.6,436742.73943661974,1.396049767848475,not_run_single_nonidentical_scenario_pair
DMCHBA,13/16,DMCHBA 5,473,67,17/2;8/11;14/15;14/17,8/10;14/18;12/7;18/9,no,descriptive_only_same_target_different_clues,78,261,-183,0.2988505747126437,20,66,0.30303030303030304,772398.0,239274.7913669065,3.228079295723204,383715.0,245879.94444444444,1.560578683499332,1156113.0,302955.92805755395,3.816109516036167,not_run_single_nonidentical_scenario_pair
HIPC,13/16,HIPC 5,473,67,17/2;8/11;14/15;14/17,8/10;14/18;12/7;18/9,no,descriptive_only_same_target_different_clues,103,306,-203,0.3366013071895425,30,77,0.38961038961038963,1224495.9,757464.1633663366,1.6165727162035917,2004576.2,1067698.6078431373,1.8774738351016989,3229072.1,1566166.5742574257,2.0617679837350735,not_run_single_nonidentical_scenario_pair
PI,13/16,PI 5,473,67,17/2;8/11;14/15;14/17,8/10;14/18;12/7;18/9,no,descriptive_only_same_target_different_clues,116,212,-96,0.5471698113207547,32,53,0.6037735849056604,742779.5333333333,883181.6949152543,0.8410268663965084,2065264.1333333333,1689842.7536231885,1.2221634994766257,2808043.6666666665,1871310.0847457626,1.5005763553335252,not_run_single_nonidentical_scenario_pair
