environment,algorithm,trial_label,study_trial_number,source_episode_or_hil_trial_id,target_location,top_k_rate,top_k_cells,scenario_sha256,allocator_calls,candidate_filter_calls,allocation_exclusive_mean_us,reported_allocator_solve_mean_us,unattributed_nonfilter_overhead_mean_us,candidate_filter_mean_us,candidate_filter_contribution_per_allocator_call_us,combined_allocator_mean_us
HIL,CBAA,HIL CBAA 313,,313,,0.03,11,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,129,63,54936.023255813954,,,566462.3333333334,276644.3953488372,331580.4186046512
HIL,CBAA,HIL CBAA 358,,358,,0.03,11,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,186,76,51891.333333333336,,,538065.697368421,219854.80107526883,271746.13440860214
HIL,CBAA,HIL CBAA 371,,371,,0.03,11,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,88,39,47624.954545454544,,,585030.8205128205,259275.02272727274,306899.9772727273
HIL,CBAA,HIL CBAA 388,,388,,0.03,11,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,273,104,52754.26007326008,,,457061.83653846156,174118.79487179487,226873.05494505496
HIL,CBAA,HIL CBAA 398,,398,,0.03,11,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,20,8,40914.45,,,764439.25,305775.7,346690.15
HIL,CBAA,HIL CBAA 424,,424,,0.03,11,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,55,39,68838.2,,,542501.282051282,384682.7272727273,453520.92727272725
physical,DMCHBA,DMCHBA 1,1,4,5/9,0.05,18,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,7,4,365586.85714285716,364262.0,1324.857142857143,247698.5,141542.0,507128.85714285716
physical,DMCHBA,DMCHBA 2,2,53,7/2,0.05,18,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,13,10,369846.0,367631.3846153846,2214.6153846153848,130285.5,100219.61538461539,470065.6153846154
physical,DMCHBA,DMCHBA 3,3,232,3/11,0.05,18,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,6,4,446086.8333333333,444733.6666666667,1353.1666666666667,320912.5,213941.66666666666,660028.5
physical,DMCHBA,DMCHBA 4,4,394,5/4,0.05,18,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,14,10,343891.0714285714,341850.14285714284,2040.9285714285713,53752.2,38394.42857142857,382285.5
physical,DMCHBA,DMCHBA 5,5,473,13/16,0.05,18,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,4,4,772398.0,771126.5,1271.5,383715.0,383715.0,1156113.0
HIL,DMCHBA,HIL DMCHBA 7,,7,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,29,11,399657.3793103448,,,436685.2727272727,165639.24137931035,565296.6206896552
HIL,DMCHBA,HIL DMCHBA 12,,12,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,140,4,33568.014285714286,,,67601.25,1931.4642857142858,35499.47857142857
HIL,DMCHBA,HIL DMCHBA 32,,32,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,209,30,147344.48803827752,,,72614.8,10423.177033492822,157767.66507177035
HIL,DMCHBA,HIL DMCHBA 45,,45,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,185,20,117432.2,,,379708.65,41049.58378378378,158481.7837837838
HIL,DMCHBA,HIL DMCHBA 50,,50,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,201,78,392315.53233830846,,,133007.5641025641,51614.87562189055,443930.407960199
HIL,DMCHBA,HIL DMCHBA 56,,56,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,245,28,113137.3387755102,,,141904.35714285713,16217.640816326531,129354.97959183673
HIL,DMCHBA,HIL DMCHBA 67,,67,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,139,36,239274.7913669065,,,245879.94444444444,63681.13669064748,302955.92805755395
HIL,DMCHBA,HIL DMCHBA 80,,80,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,119,37,312086.487394958,,,363030.7297297297,112875.10084033613,424961.5882352941
HIL,DMCHBA,HIL DMCHBA 94,,94,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,170,51,278936.2705882353,,,124161.07843137255,37248.32352941176,316184.59411764704
HIL,DMCHBA,HIL DMCHBA 108,,108,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,197,5,30563.406091370558,,,84428.0,2142.8426395939086,32706.248730964468
HIL,DMCHBA,HIL DMCHBA 127,,127,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,149,4,33415.10738255033,,,225863.25,6063.442953020134,39478.55033557047
HIL,DMCHBA,HIL DMCHBA 132,,132,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,157,16,119399.50318471338,,,485246.75,49451.89808917198,168851.40127388536
HIL,DMCHBA,HIL DMCHBA 164,,164,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,210,47,206692.43333333332,,,103414.59574468085,23145.17142857143,229837.60476190477
HIL,DMCHBA,HIL DMCHBA 166,,166,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,187,59,288491.33689839573,,,99669.28813559322,31446.45989304813,319937.79679144383
HIL,DMCHBA,HIL DMCHBA 178,,178,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,43,4,116302.11627906977,,,648081.25,60286.62790697674,176588.7441860465
HIL,DMCHBA,HIL DMCHBA 216,,216,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,48,13,283002.5416666667,,,493483.07692307694,133651.66666666666,416654.2083333333
HIL,DMCHBA,HIL DMCHBA 226,,226,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,76,21,284605.4342105263,,,412532.4761904762,113989.23684210527,398594.6710526316
HIL,DMCHBA,HIL DMCHBA 233,,233,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,19,5,276577.36842105264,,,119599.2,31473.473684210527,308050.84210526315
HIL,DMCHBA,HIL DMCHBA 274,,274,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,148,26,179786.35135135136,,,147343.96153846153,25884.75,205671.10135135136
HIL,DMCHBA,HIL DMCHBA 313,,313,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,111,20,184726.98198198198,,,213727.45,38509.45045045045,223236.43243243243
HIL,DMCHBA,HIL DMCHBA 358,,358,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,186,30,152582.31720430107,,,235652.5,38008.467741935485,190590.78494623656
HIL,DMCHBA,HIL DMCHBA 371,,371,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,94,22,228935.96808510637,,,290888.36363636365,68080.25531914894,297016.22340425535
HIL,DMCHBA,HIL DMCHBA 388,,388,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,259,34,129056.54054054055,,,198633.5,26075.440154440155,155131.98069498068
HIL,DMCHBA,HIL DMCHBA 398,,398,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,20,5,276162.8,,,492006.0,123001.5,399164.3
HIL,DMCHBA,HIL DMCHBA 424,,424,,0.05,18,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,46,15,326409.89130434784,,,133218.66666666666,43440.86956521739,369850.76086956525
physical,HIPC,HIPC 1,1,4,5/9,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,5,5,1198316.0,1192586.0,5730.0,1166782.6,1166782.6,2365098.6
physical,HIPC,HIPC 2,2,53,7/2,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,10,10,1200882.2,1189874.1,11008.1,375052.1,375052.1,1575934.3
physical,HIPC,HIPC 3,3,232,3/11,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,6,6,1183836.1666666667,1177209.8333333333,6626.333333333333,1968170.5,1968170.5,3152006.6666666665
physical,HIPC,HIPC 4,4,394,5/4,0.1,36,92ebcdc84dc259fc27fc6123bef9ca9f0488a874e84e405344e349aa2d07d393,4,4,1196695.0,1189028.5,7666.5,133870.5,133870.5,1330565.5
