environment,algorithm,trial_label,study_trial_number,source_episode_or_hil_trial_id,target_location,top_k_rate,top_k_cells,scenario_sha256,allocator_calls,candidate_filter_calls,allocation_exclusive_mean_us,reported_allocator_solve_mean_us,unattributed_nonfilter_overhead_mean_us,candidate_filter_mean_us,candidate_filter_contribution_per_allocator_call_us,combined_allocator_mean_us
HIL,PI,HIL PI 32,,32,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,190,59,484692.8526315789,,,583668.5593220339,181244.44736842104,665937.3
HIL,PI,HIL PI 45,,45,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,184,47,395804.04347826086,,,2057463.0638297873,525547.6304347826,921351.6739130435
HIL,PI,HIL PI 50,,50,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,172,172,1542321.9127906978,,,820369.2093023256,820369.2093023256,2362691.1220930233
HIL,PI,HIL PI 56,,56,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,247,77,474621.6234817814,,,803950.6363636364,250624.28744939272,725245.9109311741
HIL,PI,HIL PI 67,,67,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,118,69,883181.6949152543,,,1689842.7536231885,988128.3898305085,1871310.0847457626
HIL,PI,HIL PI 80,,80,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,201,179,1429298.9154228857,,,1544419.027932961,1375378.1393034826,2804677.0547263683
HIL,PI,HIL PI 94,,94,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,199,159,1198936.3216080402,,,710842.641509434,567959.6984924623,1766896.0201005025
HIL,PI,HIL PI 108,,108,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,213,26,200983.27230046949,,,559181.7307692308,68256.92488262912,269240.1971830986
HIL,PI,HIL PI 127,,127,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,146,4,65771.54794520549,,,1611279.25,44144.63698630137,109916.18493150685
HIL,PI,HIL PI 132,,132,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,159,41,378916.08176100627,,,2457112.1707317075,633594.962264151,1012511.0440251572
HIL,PI,HIL PI 164,,164,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,239,154,979985.410041841,,,703061.3961038961,453018.64016736404,1433004.0502092051
HIL,PI,HIL PI 166,,166,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,200,176,1370320.84,,,659686.5965909091,580524.205,1950845.045
HIL,PI,HIL PI 178,,178,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,45,7,326204.4666666667,,,3052953.4285714286,474903.86666666664,801108.3333333334
HIL,PI,HIL PI 216,,216,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,44,24,868881.5909090909,,,2512690.7083333335,1370558.5681818181,2239440.159090909
HIL,PI,HIL PI 226,,226,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,46,18,645075.2391304348,,,2627784.4444444445,1028263.4782608695,1673338.7173913044
HIL,PI,HIL PI 233,,233,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,57,48,1282088.3684210526,,,781758.2083333334,658322.701754386,1940411.0701754387
HIL,PI,HIL PI 274,,274,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,172,94,786987.9941860465,,,866693.159574468,473657.8895348837,1260645.8837209302
HIL,PI,HIL PI 313,,313,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,104,38,506207.9423076923,,,1519492.9736842106,555199.3557692308,1061407.298076923
HIL,PI,HIL PI 358,,358,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,188,78,610513.4627659575,,,1415802.7948717948,587407.5425531915,1197921.005319149
HIL,PI,HIL PI 371,,371,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,108,59,796554.4351851852,,,1692669.6440677966,924699.1574074074,1721253.5925925926
HIL,PI,HIL PI 388,,388,,0.1,36,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,292,123,626331.7020547945,,,1076043.536585366,453264.91438356164,1079596.6164383562
