trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,trial_status
13,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,86.38400085674047,86.38400085674047,6,6,6,182,49,173,13,0,0,0,0,0.0,0,468,0,371,1110,0,185,186,371,0,0.0,7.42,0.0,collision_intent:185;state:186,0.10000000000000009,0.07080924855491322,completed
14,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,93.572734508287,93.572734508287,3,3,3,184,52,177,11,1,2,2,0,0.0,0,530,0,377,1128,0,189,188,377,0,0.0,7.54,0.0,collision_intent:189;state:188,0.08000000000000007,0.029661016949152463,completed
15,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,77.62528259537088,77.62528259537088,8,8,8,159,45,145,18,1,1,1,0,0.0,0,429,0,325,972,0,162,163,325,0,0.0,6.5,0.0,collision_intent:162;state:163,0.1100000000000001,0.0431034482758621,completed
16,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,73.38039953524805,73.38039953524805,1,1,1,159,41,157,6,0,0,0,0,0.0,0,397,0,325,971,0,162,163,325,0,0.0,6.5,0.0,collision_intent:162;state:163,0.06000000000000005,0.014331210191082855,completed
17,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,82.43702814216198,82.43702814216198,7,7,7,180,46,159,25,0,0,0,0,0.0,0,435,0,366,1095,0,182,184,366,0,0.0,7.32,0.0,collision_intent:182;state:184,0.10000000000000009,0.029874213836478036,completed
18,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,86.0453335601584,86.0453335601584,5,5,5,175,49,163,16,0,0,0,0,0.0,0,475,0,357,1068,0,178,179,357,0,0.0,7.14,0.0,collision_intent:178;state:179,0.07000000000000006,0.05674846625766872,completed
19,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,95.4694102750913,95.4694102750913,4,4,4,195,54,174,25,0,1,1,0,0.0,0,527,0,397,1188,0,198,199,397,0,0.0,7.94,0.0,collision_intent:198;state:199,0.10000000000000009,0.06609195402298851,completed
20,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,82.11137993250485,82.11137993250485,0,0,0,154,47,156,2,1,0,0,0,0.0,0,475,0,315,942,0,157,158,315,0,0.0,6.3,0.0,collision_intent:157;state:158,0.030000000000000027,0.054487179487179516,completed
21,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,69.194092461543,69.194092461543,1,1,1,143,39,143,4,3,0,0,0,0.0,0,379,0,294,879,0,147,147,294,0,0.0,5.88,0.0,collision_intent:147;state:147,0.10000000000000009,0.036713286713286664,completed
22,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,89.09791481243002,89.09791481243002,3,3,3,186,50,183,7,0,1,1,0,0.0,0,488,0,381,1140,0,191,190,381,0,0.0,7.62,0.0,collision_intent:191;state:190,0.09000000000000008,0.050546448087431584,completed
